A	B	C	D	E11	E22	G12	G23	Mass	Load
43.8408	11.9604	14.9505	30.297	151.8853	7.48359	4.97712	3.49494	0.917244	62.206
30.6288	9.9972	17.4705	31.293	138.4718	8.86302	4.33344	2.76582	0.873098	41.345
31.7412	12.0396	13.7895	33.879	124.2243	8.81442	4.37664	3.54175	0.875366	37.712
37.314	9.6252	14.4855	36.336	138.8888	8.5698	4.61568	3.42023	0.908871	47.646
39.5424	12.438	15.5805	26.583	130.2986	8.31384	5.46192	2.6443	0.888026	48.236
38.9844	11.3496	12.1305	25.323	159.2245	8.33814	4.86864	2.98561	0.864257	51.62
35.6436	13.1808	11.7	29.835	133.2315	8.05707	4.5576	2.635	0.868901	43.477
43.6824	11.0316	13.2915	24.462	135.7474	7.52004	5.25216	2.99491	0.885214	48.973
30.9456	12.252	16.011	23.598	157.3341	7.54434	4.9992	2.99956	0.841706	47.347
32.6952	9.732	13.0935	24.927	151.4683	8.66781	4.31136	3.29871	0.837478	41.519
43.1244	10.2888	16.7745	34.08	133.8709	7.60509	4.25376	3.2705	0.934771	55.168
35.3232	9.4656	15.282	28.11	158.599	7.66665	4.94112	3.41093	0.870197	50.256
30.3876	14.5344	17.139	31.824	127.5742	8.69211	5.15808	2.85944	0.87972	46.455
36.3564	12.1188	14.055	36.003	143.0866	9.2421	5.29584	3.22369	0.904677	50.773
35.4024	13.7112	18.0015	26.916	142.0441	7.86186	4.1232	2.88734	0.884377	51.409
34.686	9.4932	15.381	27.912	132.3975	9.30285	5.10768	2.9667	0.867158	42.749
38.268	13.2864	13.7235	34.476	141.6132	7.91046	5.43312	2.66786	0.906965	51.31
39.8592	13.9764	16.2105	35.274	133.6624	7.17822	4.65168	3.45743	0.928469	56.396
42.1704	10.182	17.67	29.769	154.1927	8.67996	4.49952	3.31266	0.916984	61.771
31.8204	10.05	11.832	33.483	131.5635	7.36128	4.572	3.33126	0.863181	36.894
34.0488	10.1028	15.846	24.33	131.772	7.44633	5.484	2.97631	0.853124	43.231
34.4484	11.1108	14.751	24.858	125.2807	9.14409	4.48512	3.43883	0.853924	41.447
42.3288	9.36	12.762	31.89	127.7827	7.71525	4.74576	3.09287	0.904366	44.67
33.2532	14.268	12.165	34.941	132.606	7.59294	4.47072	3.36877	0.882465	42.71
39.0636	12.1992	15.447	24.792	150.4258	8.27739	4.30416	3.56035	0.878147	52.353
41.7708	11.6688	14.2875	33.948	128.4221	8.4969	4.21728	2.71436	0.919754	47.255
42.7248	13.0476	12.429	29.502	145.811	8.50905	5.5056	3.17719	0.900492	53.926
43.2828	13.5792	18.3	31.161	142.0441	7.60509	5.11488	3.11178	0.935093	65.386
33.6528	12.8088	12.894	24.33	126.9487	7.23897	5.18736	2.74722	0.843813	39.478
42.2496	13.8444	12.6285	31.758	143.7121	9.19269	4.73856	2.82193	0.909438	54.305
42.0876	12.9156	15.813	33.813	159.433	8.5455	5.0352	2.9295	0.928828	66.161
28.3176	12.624	17.5035	30.894	156.9171	8.27739	4.43472	3.04172	0.865655	46.728
41.9292	12.942	16.974	23.799	155.0267	7.98417	4.76736	3.02281	0.894478	64.197
39.7008	13.5252	13.1925	35.34	155.4437	7.17822	4.63728	3.14433	0.91457	55.019
40.2588	13.2072	15.1485	28.773	128.8391	7.08021	5.4984	3.32196	0.899027	49.986
33.3324	13.4196	12.165	27.843	155.6522	7.21467	5.16528	2.78907	0.853831	45.902
36.9144	10.6596	16.8075	32.355	119.401	8.97318	4.28256	3.15363	0.902083	43.483
36.3564	11.6148	14.586	36.6	119.1925	7.48359	4.5216	3.12108	0.908669	42.691
32.778	14.2152	13.8225	32.754	120.2489	7.33698	5.0136	2.87804	0.878846	41.556
29.5128	10.368	15.4815	31.56	122.5563	7.00731	5.0568	3.07892	0.861496	36.546
29.4336	12.3312	17.3055	35.67	133.023	8.92458	4.90512	3.31731	0.888063	43.109
31.5828	12.8892	14.5185	35.739	125.0583	7.37343	5.28144	3.46673	0.886423	40.299
42.0084	12.6504	17.3385	35.805	137.8463	9.09549	4.63008	3.28445	0.942499	60.945
