A	B	C	D	MeanMass	MeanLoad	ReliableLoad	SDLoad
28.66992948	12.71592351	15.01045461	34.28737448	0.870891303	42.61920275	36.96678891	1.884152396
28.68392948	11.59162351	16.27775461	35.24837448	0.878563408	43.15959917	37.69901917	1.820207295
28.69892948	10.50572351	16.95045461	30.46837448	0.860899826	41.93950877	36.52969046	1.803286599
28.71292948	12.58142351	15.56905461	28.14937448	0.849161435	42.32330284	36.64047635	1.894290027
28.72792948	12.60542351	17.55705461	30.31137448	0.86613734	45.82552615	39.99678834	1.942927506
28.81321614	10.97817661	13.10690943	31.50312158	0.849427192	40.37843788	35.29282855	1.695216112
28.82721614	11.71337661	13.40120943	33.75012158	0.860735956	41.31400468	36.09499109	1.739684537
28.77092948	13.18682351	15.63505461	27.06837448	0.846593908	42.92431495	37.07337461	1.950328401
28.76315709	13.73862292	12.42236974	25.78633242	0.82821258	40.59513789	35.34819132	1.748995603
28.79992948	13.38862351	15.55105461	28.78637448	0.853347588	43.32056715	37.4590545	1.953852534
28.79215709	14.31522292	13.21516974	34.31433242	0.865770673	42.68263716	37.17963732	1.834347348
28.90021614	9.829876605	13.53340943	27.85212158	0.835427912	39.41730918	34.34139845	1.69198322
28.82115709	13.08522292	12.60856974	29.58233242	0.842805962	40.88879102	35.71145492	1.725791934
28.92821614	9.805876605	15.29310943	30.01412158	0.851590578	40.98523302	35.71696085	1.756104193
28.87192948	12.39402351	17.95945461	31.56137448	0.873004981	46.92245952	41.04652072	1.958661286
28.86415709	10.17832292	12.30826974	25.44933242	0.820853795	38.10714578	33.15964811	1.649178538
28.90092948	10.85642351	15.83925461	31.88537448	0.863145465	42.11553973	36.80072084	1.771619882
28.91492948	13.06672351	16.37385461	28.94237448	0.857359981	44.56243353	38.82786331	1.911538066
28.90715709	10.27442292	15.74966974	27.27533242	0.842993388	40.98230143	35.77080439	1.737179004
28.92215709	13.02752292	13.32326974	31.91233242	0.855307569	41.63653427	36.33965831	1.765638863
29.02921614	10.93497661	12.93880943	31.73212158	0.850476044	40.36367379	35.28908339	1.691543108
28.97292948	9.881123515	16.90235461	28.52237448	0.853204291	41.34741903	35.99755041	1.783303217
28.98692948	11.86552351	14.98645461	34.75637448	0.872761343	42.34693987	36.79880246	1.849393321
28.98015709	10.54352292	14.64456974	25.52233242	0.832119366	40.14307964	34.90880296	1.744772276
29.08721614	13.57757661	16.80060943	31.07112158	0.868656116	46.93306657	41.13127598	1.933945029
29.00815709	11.87442292	12.53046974	29.84633242	0.842356193	40.23463338	35.19392444	1.6802492
29.02315709	11.75912292	12.80076974	32.05633242	0.852141884	40.68247864	35.62824251	1.684758297
29.05892948	12.07212351	15.05855461	29.03837448	0.851073378	41.7553565	36.15581221	1.86652908
29.14521614	10.66587661	12.78860943	31.92412158	0.850716267	40.15454938	35.10454111	1.683348998
29.08792948	11.75972351	16.48795461	25.60337448	0.843334719	42.54109708	36.92638451	1.871585209
29.10192948	12.61022351	17.02245461	24.85837448	0.844278749	44.37191925	38.59222716	1.926578808
29.11692948	13.07632351	14.62605461	26.64837448	0.841992618	41.76947862	36.04604809	1.907824808
29.10915709	13.84442292	12.93286974	33.01733242	0.860070368	42.17209036	36.77020773	1.80064135
29.14592948	13.33092351	14.23565461	25.44637448	0.836323975	41.60226637	35.92565261	1.8922191
29.15992948	12.01442351	16.91435461	24.91837448	0.843230978	43.28972996	37.56012753	1.909882124
29.15315709	10.89902292	13.95986974	28.63333242	0.842798472	40.46879972	35.31593466	1.717634857
29.16715709	10.32242292	14.07996974	28.23633242	0.840934222	40.13291211	34.99611953	1.712277327
29.18115709	14.42092292	16.93286974	26.41033242	0.852887087	47.74943041	41.88245664	1.95567292
29.21792948	10.02042351	17.37085461	34.81637448	0.88166631	43.26212422	37.71525879	1.848969324
29.30321614	13.50077661	17.70150943	27.80412158	0.860550714	48.52460192	42.63146648	1.964393546
29.24692948	13.37422351	16.12155461	33.41037448	0.875607177	45.78213549	40.00807649	1.924701093
29.23915709	10.33202292	13.39536974	24.09233242	0.821952645	39.07854861	34.04713165	1.677151848
29.25315709	13.02272292	12.78866974	31.32333242	0.852106197	41.41421558	36.17571362	1.746180709
29.26815709	14.34412292	13.65356974	32.71733242	0.863491544	42.96639446	37.26715249	1.899761894
29.30392948	14.21982351	15.64715461	25.14637448	0.843519291	44.83521284	38.81431507	2.006981315
29.31892948	12.14892351	12.27775461	30.96037448	0.84802642	40.67112296	35.53452131	1.712213682
29.33292948	10.62102351	16.67415461	27.62137448	0.851246343	41.97954864	36.50247187	1.825706259
29.41821614	9.973976605	17.73160943	32.21212158	0.873050288	43.51306358	37.85684725	1.885419903
29.34015709	12.37412292	12.57246974	27.80433242	0.836731414	40.43019326	35.3065538	1.707892916
29.37592948	12.08652351	16.37985461	24.79837448	0.84154511	43.08129782	37.36663113	1.904903507
29.36915709	11.20172292	14.41636974	27.38333242	0.841173677	40.79933823	35.4971345	1.767414799
29.38315709	10.80292292	15.85176974	29.71433242	0.855908105	41.97263632	36.6506709	1.774002076
29.39815709	11.68702292	13.06496974	29.44933242	0.844436439	40.62617433	35.53273152	1.697827288
29.43392948	12.05282351	17.11255461	24.47437448	0.843567987	43.95766194	38.18461796	1.924362753
29.42615709	11.60532292	15.14906974	30.08633242	0.855775614	41.87443494	36.37731692	1.832386729
29.46292948	12.15852351	16.18165461	26.73237448	0.848695128	43.34402397	37.63824621	1.901940508
29.47692948	11.90872351	17.50895461	29.77137448	0.865858587	45.33644703	39.49378325	1.94756953
29.49192948	13.62882351	14.33175461	27.23637448	0.845612139	42.44916629	36.64198193	1.935742965
29.48415709	12.91222292	14.60256974	30.45833242	0.85727055	42.29665569	36.6502206	1.882159465
29.59121614	10.02207661	13.52140943	33.01712158	0.859261239	40.56197927	35.43141682	1.710200598
29.51315709	14.16152292	16.30226974	24.60933242	0.844318239	46.08567588	40.16850378	1.972405827
29.54892948	13.00422351	14.59605461	25.66337448	0.839786634	41.98307819	36.21880514	1.921439086
29.54215709	14.27682292	17.50346974	25.94233242	0.854711634	49.10287589	43.20175438	1.967055591
29.57792948	13.31172351	13.04655461	35.63337448	0.872598769	42.67019051	37.18182375	1.829469616
29.59292948	13.68652351	16.56605461	33.98737448	0.881719949	47.83681518	41.99893691	1.945974348
29.67821614	10.23827661	17.41320943	35.61212158	0.886862226	44.15029437	38.4614269	1.8963037
29.59915709	11.37472292	14.86076974	28.76533242	0.849726894	41.4566076	36.00390209	1.817582445
29.63592948	12.40362351	12.78225461	33.27837448	0.861053239	41.64186115	36.37516699	1.755578186
29.62815709	12.17712292	14.48836974	26.87933242	0.842219861	41.42610363	35.92451871	1.833875705
29.64315709	11.71102292	14.48236974	25.69033242	0.836829158	41.03533224	35.61021896	1.808384961
29.65715709	14.34892292	13.54546974	31.79233242	0.861095729	43.01899177	37.25790704	1.920376304
29.67115709	11.77352292	15.28716974	24.77733242	0.836879944	41.61282433	36.00632705	1.86884676
29.70792948	13.58562351	12.82425461	35.56137448	0.872335325	42.81218102	37.29625627	1.838655686
29.79321614	10.11337661	11.97180943	33.17312158	0.854248975	39.52272686	34.49549542	1.675756667
29.73692948	13.72012351	14.90235461	29.99937448	0.859846507	43.97970183	38.08229022	1.965818946
29.75092948	12.11052351	16.21165461	33.74737448	0.877529321	44.59858671	38.93122588	1.889134765
29.83621614	13.76017661	17.54540943	32.12812158	0.879369137	50.22606875	44.22728903	1.999608573
29.77992948	12.03842351	15.40085461	30.52837448	0.861353846	42.97384168	37.22157809	1.917435902
29.79392948	12.54772351	15.41285461	31.92137448	0.867743849	43.72726156	37.89875114	1.942851706
29.88021614	14.14457661	12.19400943	32.46412158	0.858790691	42.49895476	36.96006548	1.846310586
29.80115709	12.72962292	14.71066974	28.65733242	0.851746237	42.29831356	36.61237259	1.895328193
29.81615709	13.03712292	16.57846974	25.06533242	0.846365357	45.20664935	39.40266681	1.934675684
29.85192948	13.59042351	14.86035461	24.38937448	0.838450489	43.11665806	37.17922297	1.979160209
29.86592948	13.40782351	14.38585461	29.92737448	0.857387219	43.02501684	37.20277916	1.940760777
29.95221614	9.685676605	15.22110943	29.67812158	0.85411127	41.15347079	35.75601078	1.799167135
29.96621614	9.825076605	13.37120943	33.07712158	0.86020163	40.48410629	35.3694862	1.704886439
29.90992948	11.05822351	16.59605461	35.06837448	0.883699125	44.03403156	38.44915302	1.861640459
29.90215709	13.60412292	13.98386974	32.88533242	0.86702547	43.07766649	37.35442912	1.907760421
29.91615709	13.64262292	16.83076974	32.24833242	0.876717311	48.10122454	42.2926766	1.936197497
30.02421614	14.34637661	12.52440943	30.44612158	0.853341389	42.69833879	37.04747033	1.883637267
30.03821614	11.43467661	12.45830943	32.10412158	0.854907582	40.878991	35.74674842	1.710760645
29.96015709	14.55072292	16.37426974	28.74133242	0.862999181	48.44730656	42.46619511	1.993719106
30.06721614	12.38597661	13.71960943	29.49712158	0.851618528	41.83782109	36.30397799	1.844628513
29.98915709	10.49542292	12.92686974	27.55233242	0.837042259	39.77395304	34.75504045	1.672983691
30.09621614	13.84667661	12.66850943	30.72312158	0.854461068	42.43387223	36.8251514	1.869587949
30.03892948	11.49552351	16.72215461	35.87337448	0.888582331	45.00461469	39.32078416	1.894624709
30.03215709	11.06242292	15.55146974	30.09833242	0.859280416	42.35383101	36.81720611	1.84555579
30.04615709	11.66782292	14.50046974	26.93933242	0.843410031	41.44730186	35.96134413	1.8286666
30.15421614	11.77097661	11.97780943	32.39212158	0.854998871	40.82701412	35.69686653	1.71006231
30.07515709	14.20952292	15.68356974	32.69333242	0.875190501	47.05285111	41.16186373	1.963677521
30.30661638	14.00128573	17.20138477	29.94266763	0.872656983	50.40814256	44.40268929	2.001833109
30.10415709	12.83052292	14.99286974	26.36233242	0.84551665	42.76278722	36.94985083	1.937660322
30.13992948	13.65762351	13.11855461	24.00537448	0.830843894	41.76844527	36.13010108	1.879462476
30.15492948	12.16342351	17.47295461	32.89437448	0.881288831	47.27931726	41.38456157	1.964933634
30.14715709	14.56512292	16.53046974	32.54933242	0.879129567	49.66318181	43.66726756	1.99865341
