A	B	C	D	MeanMass	MeanLoad	ReliableLoad	SDLoad
30.5909	10.19564	14.01804	34.3092	0.871024233	41.47571955	36.13143563	1.781441634
30.5923	12.1876	12.40291	25.7683	0.833308251	40.52123216	35.18261617	1.779552312
30.5938	13.26039	15.19839	34.7854	0.882094874	45.69167928	39.83321433	1.952836626
30.5952	13.10529	12.88679	27.9192	0.845318524	41.88835676	36.30692081	1.860492918
30.5967	13.16115	15.02652	34.495	0.880120397	45.15418998	39.30200643	1.950742812
30.5981	10.89238	14.9319	29.6308	0.857129632	42.07491703	36.48690055	1.862686449
30.5996	10.69886	11.93939	33.0405	0.857759471	40.33774551	35.25493961	1.694281628
30.601	11.9133	13.094	25.655	0.83537248	40.95208829	35.56778106	1.794782839
30.6025	11.72677	14.94986	25.5135	0.842145226	42.25440703	36.57304211	1.893802829
30.6039	10.23703	12.43046	34.8014	0.866380702	40.65131523	35.58286837	1.689495245
30.6054	11.82901	17.72498	26.7527	0.859503038	46.82079139	40.9258656	1.964990332
30.6068	14.20501	14.83009	29.4044	0.861647696	45.70500153	39.71052226	1.998175079
30.6083	12.14371	11.89268	33.3912	0.861185205	41.33440261	36.09441857	1.74667474
30.6097	13.17162	16.9285	24.0665	0.847686135	47.07368518	41.16067343	1.971019033
30.6112	11.02055	12.90715	29.8129	0.849691706	40.7994126	35.61182998	1.729207467
30.6126	11.93973	16.09488	28.4606	0.859162799	44.44774629	38.62385659	1.941311454
30.6141	14.37458	15.47985	28.6698	0.861445171	47.12058909	41.1298803	1.996918244
30.6155	10.86694	14.5606	27.4971	0.847075897	41.42142881	35.92906621	1.830801573
30.6169	10.60261	14.76422	24.9807	0.837795098	41.13704296	35.59518126	1.847301402
30.6184	13.40902	17.59263	27.2584	0.863762913	49.84437789	43.86414219	1.993427188
30.6198	14.39603	16.22244	32.7871	0.880362392	49.26469071	43.27209964	1.997545676
30.6213	13.24443	17.42675	32.3625	0.882602916	50.04752148	44.01219494	2.011790939
30.6227	10.35673	15.12832	30.0061	0.858765768	41.98278591	36.42307359	1.853251655
30.6242	11.03003	16.66081	24.1575	0.843229835	43.29927106	37.58414749	1.905055798
30.6256	13.82048	12.05857	34.4889	0.869008838	42.8898382	37.29848711	1.86379799
30.6271	11.88537	13.39343	27.7654	0.845184726	41.44582088	36.01681881	1.809681234
30.6285	9.456	13.37307	24.1403	0.826849323	39.00620682	33.84618422	1.720020721
30.63	13.62846	17.82559	24.1034	0.85217299	49.23881399	43.22270533	2.005384935
30.6314	10.23653	13.20898	25.0226	0.83102978	39.74955898	34.59986607	1.716577469
30.6329	14.11873	16.96862	31.5307	0.878413915	50.24179311	44.22569584	2.005381138
30.6343	11.48787	15.67688	34.762	0.881864754	44.14531883	38.39201368	1.917783092
30.6358	13.00903	13.73178	27.1501	0.846087411	42.46064017	36.71455927	1.91537499
30.6372	11.05297	16.11225	32.2961	0.873565511	44.0230392	38.32466058	1.899474109
30.6387	13.29032	15.36907	30.3162	0.865701347	45.43800959	39.52611526	1.970646558
30.6401	13.81699	13.64076	28.9676	0.854067211	43.21192731	37.38174006	1.943410656
30.6416	14.06885	12.05378	26.5828	0.838412555	42.07599252	36.50521891	1.856938777
30.643	13.31526	11.99868	25.1592	0.831383642	41.04052847	35.57472119	1.821949732
30.6444	10.43503	14.23482	24.2793	0.832737146	40.49456742	35.06470713	1.809967308
30.6459	13.44792	13.75693	26.6062	0.845072632	42.93707214	37.12575254	1.937121392
30.6473	13.33271	13.60303	24.3581	0.835788655	42.55113795	36.80242757	1.91625149
30.6488	11.98312	17.65851	27.5574	0.862822655	47.22120018	41.31328547	1.969320006
30.6502	12.46939	12.74247	30.9327	0.856006803	41.8502806	36.44994699	1.800125008
30.6517	9.58318	12.44244	34.4778	0.864493103	40.08538902	35.0208161	1.688203922
30.6531	13.43196	15.1924	34.7005	0.882233274	46.02432817	40.15773117	1.955547329
30.6546	10.051	17.15966	28.0828	0.85988965	43.54575695	37.88771268	1.886029221
30.656	9.65301	12.82511	23.8265	0.823709676	38.77731006	33.69779515	1.693184619
30.6575	10.87392	13.87371	28.8753	0.850124902	41.15836672	35.78085505	1.792517636
30.6589	13.416	16.99138	26.2432	0.857150245	48.34005324	42.3944722	1.981875541
30.6604	12.55468	15.26726	27.7481	0.853779025	43.78929193	37.94494037	1.948132128
30.6618	10.48341	13.67309	24.4184	0.831076283	40.15979521	34.86231155	1.76584143
30.6633	9.68044	13.79766	25.8667	0.836205415	39.76116586	34.49704867	1.75471919
30.6647	12.51777	16.83747	25.217	0.850879604	46.11139437	40.26725337	1.948061941
30.6662	9.56473	17.30099	30.3285	0.868713248	43.6521475	38.01948488	1.877568607
30.6676	13.96362	12.80175	33.4011	0.86806247	43.45982501	37.78126243	1.892868709
30.6691	13.26339	15.88888	24.6276	0.846039867	45.65964795	39.67204046	1.995884472
30.6705	13.98556	17.15666	31.9762	0.88081686	50.4713562	44.44296178	2.00948022
30.6719	11.06344	14.98999	34.8088	0.878731617	43.01068632	37.31803133	1.897566216
30.6734	12.72874	12.043	33.9241	0.865254206	41.95858464	36.58422946	1.791465467
30.6748	10.15823	12.22505	28.2182	0.839233408	39.52817024	34.4703361	1.685957639
30.6763	12.97462	12.49154	29.84	0.851341513	41.89686763	36.42530652	1.823867694
30.6777	9.70288	17.53993	24.427	0.846240211	43.62106069	37.98389027	1.879071214
