A	B	C	D	E11	E22	G12	G23	Mass	Load
32.25024	13.4244	14.0256	23.5851	142.52782	9.149598	5.04288	3.398375	0.841148	45.06
42.95268	12.57876	12.16905	34.4199	133.21899	7.415307	4.887216	2.781165	0.918958	48.792
34.24788	13.7574	14.21055	25.1046	130.17211	7.052832	5.27208	2.739253	0.856713	44.601
40.73292	13.1178	17.4015	34.6974	156.88652	8.50257	5.27064	2.829556	0.933629	67.475
34.67592	12.177	14.9505	23.7831	138.81235	8.351748	4.5744	2.653631	0.853577	46.068
36.83232	10.15284	14.53425	33.8781	146.86879	9.263889	4.597488	3.437466	0.897614	49.86
38.75112	12.38844	16.38405	35.7015	122.19907	9.193338	4.55712	2.867748	0.923863	46.731
37.16532	14.3652	16.47	36.0318	146.74369	9.001206	4.956384	3.010162	0.921743	55.998
28.08	11.16756	15.10905	32.5701	134.05299	7.748541	4.463424	3.25128	0.858981	38.719
40.59036	10.2744	16.33785	28.1568	121.23858	8.276337	5.223072	3.522189	0.898325	45.75
35.59572	10.28496	16.60875	26.0163	157.51202	7.405506	5.25912	2.728093	0.869832	52.735
38.56068	14.01108	12.45315	26.9016	158.80611	8.422299	4.79928	3.360183	0.874773	54.26
35.89704	13.37148	17.23635	32.7153	156.51122	7.609869	4.105968	2.987811	0.905001	55.792
32.96376	10.81872	16.1265	36.3753	153.54635	7.65612	4.740192	2.760674	0.898915	49.631
35.38944	14.02692	15.98115	27.2451	159.6415	7.580709	5.065968	3.106045	0.877609	56.058
43.04808	10.31136	16.02075	31.1034	131.17291	9.173898	5.181264	2.855627	0.91925	53.389
30.85488	11.20452	12.9684	27.3111	159.3496	8.115795	4.466304	2.744864	0.840849	43.536
28.95192	13.81548	15.70365	34.9881	151.04296	7.356906	4.453344	3.374164	0.878703	45.386
42.31872	11.9022	13.8669	32.253	150.83446	8.646102	4.146288	2.715073	0.913856	53.937
37.79964	11.88108	11.7726	24.8535	142.02603	7.787421	5.385936	2.858417	0.856858	46.632
42.255	13.77324	13.66215	23.955	132.4253	7.767981	5.228832	2.838887	0.884116	52.874
31.88556	10.14756	12.3144	29.478	148.91348	7.101513	5.30088	2.886348	0.849465	41.277
34.89804	14.26476	12.9156	30.9051	153.12935	8.714223	5.194224	2.720653	0.87692	51.777
32.139	14.56596	11.9775	28.6455	145.6998	8.570691	5.097648	3.317372	0.853182	43.708
35.83368	12.79548	13.7745	30.3369	120.98838	7.420167	4.121808	2.916139	0.879808	41.605
41.31972	14.54484	15.73005	34.2876	143.32012	7.899363	5.388816	3.029723	0.92967	62.755
33.64524	11.29968	15.3468	25.8444	141.90093	9.30528	5.348448	3.094885	0.857193	46.763
38.14848	14.21184	12.47955	27.8001	125.37105	6.948261	4.56432	3.169347	0.876912	44.109
32.66244	9.59256	16.58895	34.9749	143.61202	9.229869	4.588848	2.924509	0.892461	44.51
43.79328	12.10308	13.1403	35.1597	137.26806	7.395786	4.55568	3.2643	0.928921	53.174
31.52088	13.67808	15.2544	34.8426	132.05	7.091793	5.25624	2.690862	0.886902	45.166
43.36488	13.0068	12.3606	30.0462	135.26368	8.731233	4.433136	3.457027	0.90496	51.009
41.66856	11.91276	17.1504	33.6138	123.15956	6.92388	4.359648	3.055794	0.93046	52.524
29.30076	13.54596	16.37085	24.2853	155.59243	8.609571	4.54848	2.828626	0.841425	47.061
33.77232	14.20656	17.9631	28.659	137.22636	8.709363	4.56144	3.498908	0.884849	50.863
38.22768	10.86636	12.17565	26.7429	158.01381	7.283925	4.715664	3.209399	0.865972	50.226
31.33044	13.41384	13.464	30.5616	154.38174	8.434449	4.09728	2.761604	0.861312	44.413
36.13464	13.43496	15.46575	26.2143	145.3245	8.49042	5.328288	2.658281	0.873549	51.397
35.7066	13.19184	12.72405	32.3982	151.54336	9.074187	5.04576	3.549159	0.883532	51.592
37.91052	11.14644	11.7594	34.5915	148.99688	9.076617	5.083248	3.219629	0.89456	49.329
31.25124	11.0988	12.8958	34.3404	141.48393	7.72659	5.357136	2.670371	0.870071	41.092
30.42684	12.16644	12.71085	28.5399	146.6172	8.813934	5.481072	3.402095	0.844322	42.32
33.89904	13.36092	12.5523	24.1134	123.91016	7.836102	4.260192	3.103255	0.843713	39.005
37.46664	9.58728	15.327	36.2565	126.95704	8.354178	5.064528	3.047393	0.912719	45.557
43.19064	12.71616	17.00505	33.495	148.57988	7.955253	5.5056	3.366724	0.936997	65.974
28.55556	12.91176	13.4838	29.2137	137.18466	7.524738	5.413344	2.783025	0.843544	39.711
41.08176	12.21936	17.22315	33.0192	144.48911	6.89229	4.639296	2.857487	0.926354	59.896
40.17816	12.44664	14.18415	23.5587	146.1585	9.018216	4.989552	3.137696	0.873337	51.583
28.34964	12.3198	14.1708	35.979	138.64555	8.028234	4.895856	2.923579	0.871401	40.71
43.34904	13.99524	14.84475	30.5748	124.95405	7.913943	5.03136	2.795115	0.919176	54.758
28.65096	13.8948	15.17505	30.6804	120.94668	7.916373	4.444704	2.843537	0.858497	36.618
36.16632	12.22992	14.6994	25.3689	136.43267	6.89472	4.369728	2.915209	0.864951	45.855
38.41812	13.80492	13.8273	34.9617	140.44004	9.251739	4.32792	2.962701	0.910758	50.609
39.65472	14.51316	17.18355	25.8576	122.65777	7.794711	4.467744	2.904049	0.896584	53.288
28.746	11.95512	17.091	31.7904	157.26182	7.999074	4.878576	2.990601	0.868225	46.34
29.9826	10.72356	13.8009	33.1248	152.87915	9.103347	4.152096	3.275491	0.863137	42.948
36.864	12.85884	13.27905	33.9969	154.54854	7.425027	4.241424	2.689932	0.896584	51.837
37.0386	9.46044	13.08735	35.1069	153.04595	8.339598	4.202544	3.273631	0.896562	47.105
29.4912	10.4646	15.45915	30.1917	137.64336	8.684982	5.332608	3.509138	0.855944	40.778
32.36112	13.13892	16.7409	24.4041	156.80312	7.235244	4.79208	2.756024	0.85558	52.266
28.85688	11.93388	13.5498	27.9189	147.86959	9.256599	4.523952	2.777445	0.838415	41.358
37.40328	14.42856	14.29635	30.0462	119.48579	8.064765	4.629168	3.079044	0.890396	44.072
41.96988	11.601	12.80985	35.4504	152.00206	9.057177	4.387008	3.121886	0.92028	53.751
41.46228	9.76692	15.915	32.8341	141.56733	8.346888	4.166496	3.349023	0.918386	50.992
35.24688	13.73616	17.50725	27.0336	138.06036	6.92145	4.81656	3.046463	0.882115	50.403
31.50504	11.35788	13.1865	31.1562	142.90312	7.758261	5.01984	3.56407	0.859969	41.483
43.254	12.1506	15.41955	35.0277	137.55996	8.558541	5.466672	2.890068	0.935834	59.202
31.0608	10.04184	16.1595	29.8479	125.07915	6.91902	4.859808	3.071604	0.863609	37.499
39.24252	12.71088	17.9367	34.7898	156.55292	8.682552	4.490832	3.079974	0.929345	64.254
41.19264	12.45192	12.3408	24.5232	123.49316	8.49285	4.32216	3.26523	0.873464	43.576
35.136	14.07972	13.8471	27.2055	129.50352	8.368758	4.150608	2.716003	0.867441	44.174
38.73528	9.86208	18.2868	34.248	140.06474	8.658252	4.5456	3.107905	0.922747	51.607
30.61692	9.68772	15.948	29.3328	150.91786	8.560971	5.442144	2.903119	0.858284	44.101
32.32944	12.77424	13.2723	27.6018	119.11049	7.337466	5.436384	3.080904	0.85218	36.615
32.0598	12.69504	14.772	28.8174	146.5338	8.113365	4.770432	2.917069	0.861953	45.755
32.805	10.94028	15.43275	34.1952	143.94701	7.412877	5.486832	3.430956	0.886621	45.71
41.87448	11.1042	17.26935	28.7118	145.8666	8.395569	5.308128	2.654561	0.911158	59.884
33.94656	13.28172	17.0448	32.7813	124.87065	8.067195	4.0872	2.996212	0.896036	45.24
30.71196	12.30396	14.0454	36.3885	128.62782	8.264187	4.179456	2.862137	0.882506	38.517
29.96676	11.52168	16.7871	34.803	157.09502	8.889345	4.609008	3.306212	0.883544	46.995
30.75948	10.44348	13.5168	24.4572	152.79575	7.918803	5.319648	2.765324	0.830363	42.254
42.81012	12.25632	17.4345	31.8432	148.78838	8.023374	4.743072	3.528699	0.929968	64.344
36.13464	9.6084	11.9709	26.2806	139.98134	8.179056	4.891536	2.94965	0.852482	39.76
29.91924	13.5354	16.1991	27.4167	152.54555	7.612299	4.114608	3.102325	0.855054	47.221
34.20036	10.1316	17.30895	29.8878	131.21461	8.624151	4.79784	3.542649	0.882074	45.711
42.30288	13.70448	17.28255	35.7411	125.28765	8.378478	5.129376	2.819326	0.9448	58.187
38.79864	11.15172	14.26995	28.9893	138.47875	8.46612	4.717104	3.565	0.886573	48.495
40.30488	12.40956	15.9282	27.9057	131.7998	7.614729	5.416224	2.6443	0.897785	50.637
33.99408	14.47092	14.3361	24.7743	124.91235	8.266617	4.724304	3.456066	0.856441	43.609
33.07464	14.31228	16.2057	27.4698	131.00611	7.274205	4.149168	2.904979	0.87015	45.727
30.37896	13.398	15.882	28.1964	154.96554	9.29799	4.965024	3.206578	0.85838	49.496
43.0956	10.05768	17.0844	24.1665	129.42012	7.73388	4.80216	3.351813	0.896014	53.083
29.71332	9.54504	15.16185	26.1879	136.09907	7.522308	5.411904	2.93198	0.838326	38.95
36.6264	11.98152	13.38465	30.5484	134.42968	8.159616	4.936224	2.64616	0.881045	45.971
40.16232	14.52372	17.6922	29.6763	145.7832	8.052534	4.593168	3.25221	0.915253	63.684
34.81884	10.29024	14.52105	26.8485	118.4002	7.322805	4.29768	3.049253	0.860984	37.723
28.6668	13.0386	17.0712	26.3466	141.27543	9.127728	5.096208	2.850047	0.848442	43.526
30.34728	11.97624	17.157	36.5208	147.41089	7.247394	4.978032	3.235439	0.894245	47.88
33.85152	12.60516	11.80575	31.275	139.02085	8.439309	5.456592	2.914279	0.866427	41.64
35.00892	11.62212	13.8207	36.4017	123.95186	7.648749	5.175504	2.812816	0.898921	42.862
29.20572	12.732	18.13485	32.6889	142.98652	8.147466	4.721424	3.400235	0.879334	48.027
30.66444	14.1696	13.88025	28.4079	134.30458	8.675262	4.960704	2.657351	0.853342	40.843
41.79528	10.09464	18.18765	32.5434	151.75186	7.466337	4.32936	3.211259	0.928657	60.916
34.31124	9.6666	17.7516	32.3454	150.62457	8.653392	4.382688	3.475627	0.89375	51.16
40.71708	12.51	17.6262	24.4704	131.13121	9.186048	5.218752	2.999932	0.893767	56.458
42.0174	9.41808	12.9354	28.5663	133.96959	9.047457	4.910256	2.95802	0.8904	46.445
38.81448	10.26384	13.99245	23.6511	140.02304	9.139878	4.485024	2.877978	0.863088	46.757
35.34192	12.17172	15.9678	25.7652	129.12822	8.030664	5.485392	3.497048	0.868243	46.146
40.44744	12.35148	11.7462	30.8787	151.16806	7.172064	5.176944	2.811886	0.892178	51.743
31.96476	10.97196	17.9499	25.3821	140.52344	8.916075	4.3308	3.443976	0.858753	46.843
39.3534	13.8366	16.5096	31.9092	158.18061	8.920935	4.637856	3.521259	0.914188	63.888
40.0194	13.3398	18.2406	32.0943	153.29615	7.259625	5.199984	3.085585	0.924249	66.46
40.20984	10.45932	16.39725	25.4481	155.96773	9.227439	4.913136	3.318302	0.886538	55.237
34.97724	10.61784	12.8892	31.764	155.25883	8.852814	4.113168	2.861207	0.874826	44.665
30.47436	10.27968	12.6447	24.1398	133.67769	7.137963	4.34232	2.983161	0.823947	36.117
32.63076	11.02488	12.3276	33.693	144.15551	7.964973	4.425936	2.64058	0.870804	40.916
32.70996	9.88848	12.2682	29.4648	149.33048	8.872335	4.959264	3.487748	0.852357	41.797
36.51516	9.75636	13.63575	25.686	127.87583	7.035822	4.818	2.771834	0.85901	40.443
38.13264	10.90332	15.3534	28.1436	140.27324	8.51472	4.890096	2.973861	0.884618	49.223
36.3726	13.4508	16.4502	23.8359	141.15033	7.459047	5.459472	3.025073	0.869883	51.058
36.24588	9.66132	14.9835	28.4739	120.73818	8.755533	5.240352	3.120026	0.87457	41.815
33.83568	9.8304	18.0225	30.7599	148.16288	8.928225	5.086128	3.192628	0.886665	50.992
29.33244	12.00264	12.0171	31.9887	133.80279	8.784693	4.858368	2.764394	0.850059	37.925
40.95504	14.15904	12.71745	27.1791	130.96441	9.242019	4.356768	3.026933	0.887377	47.446
36.48348	10.92444	13.95285	28.9494	132.6755	6.90201	4.952064	3.500768	0.874912	44.8
39.2742	9.42348	12.6051	30.7995	153.75624	8.127945	5.0328	3.170277	0.8864	50.156
36.23004	12.82716	15.81585	29.2536	130.13041	8.453889	4.903056	3.26895	0.885976	47.137
29.61792	10.30608	16.66815	32.319	156.05113	7.950393	5.078928	3.438396	0.869953	45.726
29.06316	11.379	15.6705	28.3152	146.95219	7.303365	5.089008	2.651771	0.848931	42.197
43.52364	11.57448	12.99495	26.6241	144.03041	6.957981	5.187024	3.087445	0.892596	51.699
41.74776	13.76796	12.6381	32.1075	128.45963	7.252335	5.014032	3.478417	0.908583	48.248
34.6284	10.08936	18.17445	32.9664	145.11461	7.512588	4.265952	2.868678	0.899925	49.897
41.7636	11.83356	16.5294	35.9922	146.66029	7.809291	4.133328	2.910559	0.937664	59.33
32.8842	12.8958	11.733	28.4211	153.58805	7.220664	5.091888	3.061374	0.851379	43.79
42.22332	11.05128	13.7943	33.7989	149.95737	7.013952	4.681104	2.716933	0.918149	53.081
39.62304	9.98892	12.5391	26.7825	150.33267	7.198794	4.972272	2.733673	0.872235	48.799
34.23204	9.78288	14.4219	24.1266	146.5755	7.064982	4.414416	3.395585	0.846551	41.851
42.08076	14.45496	13.2261	34.737	131.7581	8.242317	4.642176	3.237299	0.92389	54.035
32.28192	14.64	15.76965	30.9843	137.76846	8.013654	4.526832	3.166557	0.878906	48.305
32.09148	10.1898	18.09525	31.341	124.28546	7.70472	4.271712	3.227999	0.882391	41.905
42.12828	9.48684	15.5781	28.3551	130.42231	7.429887	5.233152	2.738323	0.901315	47.644
34.75548	9.57144	14.79195	31.6317	151.45996	7.823952	5.127936	2.659211	0.880072	46.296
40.00356	12.14532	14.9571	31.6584	149.91567	7.775271	4.682544	3.070674	0.906667	53.538
36.56304	12.19296	18.2802	34.935	150.12417	8.322588	5.149536	3.26709	0.919284	56.346
32.29776	9.45516	17.6856	34.4859	130.63081	7.417737	5.120736	3.323882	0.893411	42.891
29.03148	12.80076	13.4442	34.3935	153.25445	8.325018	4.427376	3.527769	0.865567	43.913
33.24888	9.98364	16.8597	36.111	141.23373	8.594991	5.136576	3.451416	0.901179	47.719
31.75848	11.54808	15.08925	25.9236	126.91534	7.867692	5.122176	2.63779	0.848835	38.261
39.22668	10.4118	16.35105	32.0415	159.85	8.577981	4.861248	3.096745	0.908361	56.616
42.52464	11.41596	13.02795	29.1741	132.7172	9.259029	4.31352	2.822116	0.898239	47.258
35.10432	11.31552	13.93305	30.3765	149.20538	8.222877	4.08288	3.454206	0.875229	47.759
39.51216	10.59672	18.267	25.3953	126.37324	7.69257	5.123616	2.804415	0.891523	48.214
29.87172	12.954	12.9024	35.2788	124.41195	7.570908	5.381616	3.167487	0.870578	37.721
