"Status Code/Type"	"Row Name"	"Run #"	Weight_MeanLoad	Weight_MeanMass	Weight_ReliableLoad	Weight_SDLoad	A	B	C	D	MeanLoad	MeanMass	ObjFunc	ReliableLoad	SDLoad	"Design Feasibility"	"Objective and Penalty"	"Objective Function"	"Penalty Function"
OK	Task[1].Optimization1[1]/Subflow[11]	11	1	1	1	2	34.52260675672092	12.038796889104013	15.75	29.849231071329935	49.021140744912806	0.8799923754130006	117.74070074076792	42.81476192043563	2.0688088074469126	9	117.74070074076792	117.74070074076792	0
OK	Task[1].Optimization1[1]/Subflow[12]	12	1	1	1	2	33.904022151723716	12.077593778208028	16.5	29.698462142659867	49.42336443250809	0.8799708607829805	102.28117489520264	43.2453501074704	2.059353901776438	9	102.28117489520264	102.28117489520264	0
OK	Task[1].Optimization1[1]/Subflow[15]	15	1	1	1	2	33.59138834730811	12.097201797777368	16.87905138831051	29.622263247024563	49.626432486822424	0.8799767716543373	96.37857951449848	43.45267118926325	2.057936215080221	9	96.37857951449848	96.37857951449848	0
OK	Task[1].Optimization1[1]/Subflow[17]	17	1	1	1	2	33.59138834730811	12.110298999575145	16.87905138831051	29.622263247024563	49.64543819394002	0.8799980650208611	96.37466359394955	43.4694017760059	2.058694594354253	9	96.37466359394955	96.37466359394955	0
OK	Task[1].Optimization1[1]/Subflow[21]	21	1	1	1	2	33.51375049690159	12.022788184203968	17.301027673018275	29.281700207198693	50.01077963132839	0.8799940786336264	93.00930634128497	43.80610301082787	2.068241401781039	9	93.00930634128497	93.00930634128497	0
OK	Task[1].Optimization1[1]/Subflow[27]	27	1	1	1	2	34.1499296925413	11.871654033876682	17.33073634420949	28.62890390542766	50.49642525814991	0.879997016634712	87.94888593631345	44.25678416014363	2.079896317012535	9	87.94888593631345	87.94888593631345	0
OK	Task[1].Optimization1[1]/Subflow[31]	31	1	1	1	2	38.5363575991386	10.813714981585678	17.538697042548	24.05932979303044	52.922285945318926	0.8799971717481124	80.44407308192274	46.42158469362709	2.1669170355415543	9	80.44407308192274	80.44407308192274	0
OK	Task[1].Optimization1[1]/Subflow[33]	33	1	1	1	2	37.052552213132884	11.174979831766581	17.467682658150256	25.61974719470476	52.264558522625684	0.8799981075569113	78.30944873113356	45.855395208851604	2.1364041556310083	9	78.30944873113356	78.30944873113356	0
OK	Task[1].Optimization1[1]/Subflow[43]	43	1	1	1	2	36.03505987232074	11.17497976197176	17.467676102137965	25.619758491623937	51.23448798644333	0.8756162325924602	75.12111242198137	44.95263172786703	2.0939681451095393	9	75.12111242198137	75.12111242198137	0
OK	Task[1].Optimization1[1]/Subflow[44]	44	1	1	1	2	35.57732613806282	11.174979730573545	17.467673152820446	25.6197635737074	50.75541523081703	0.8736493001575598	74.55473086365873	44.52850113288438	2.075653951102808	9	74.55473086365873	74.55473086365873	0
OK	Task[1].Optimization1[1]/Subflow[49]	49	1	1	1	2	35.57729291678952	11.174897400103635	17.467008154221794	25.619581087064685	50.75417600048481	0.8736453747116135	74.5470410681703	44.52743812894491	2.0755952085210865	9	74.5470410681703	74.5470410681703	0
OK	Task[1].Optimization1[1]/Subflow[50]	50	1	1	1	2	35.57725969551622	11.174815069633723	17.46634315562314	25.61939860042197	50.75293687828331	0.8736414494220901	74.53938069339722	44.52637507601612	2.0755365183137027	9	74.53938069339722	74.53938069339722	0
OK	Task[1].Optimization1[1]/Subflow[51]	51	1	1	1	2	35.577193252969614	11.174650408693902	17.465013158425837	25.61903362713654	50.75045895813328	0.873633599311914	74.52414813893529	44.524248823454954	2.075419294884736	9	74.52414813893529	74.52414813893529	0
OK	Task[1].Optimization1[1]/Subflow[52]	52	1	1	1	2	35.577060367876406	11.174321086814258	17.462353164031224	25.61830368056568	50.74550441387658	0.8736179009642818	74.49403533803729	44.519995733451836	2.075185475007494	9	74.49403533803729	74.49403533803729	0
OK	Task[1].Optimization1[1]/Subflow[53]	53	1	1	1	2	35.57679459768998	11.173662443054972	17.457033175242003	25.616843787423964	50.73560050169066	0.8735865117377766	74.43521519445812	44.51148722911756	2.0747203354890362	9	74.43521519445812	74.43521519445812	0
OK	Task[1].Optimization1[1]/Subflow[54]	54	1	1	1	2	35.57626305731714	11.1723451555364	17.446393197663564	25.613924001140532	50.71581332015733	0.8735237629832264	74.32316648167875	44.49446104483661	2.0737999960127578	9	74.32316648167875	74.32316648167875	0
OK	Task[1].Optimization1[1]/Subflow[55]	55	1	1	1	2	35.57519997657147	11.169710580499252	17.42511324250668	25.60808442857366	50.676321030835425	0.8733983828609281	74.12119243360917	44.46037294367986	2.071998586141213	9	74.12119243360917	74.12119243360917	0
OK	Task[1].Optimization1[1]/Subflow[56]	56	1	1	1	2	35.573073815080114	11.164441430424962	17.382553332192916	25.59640528343993	50.59766080256055	0.8731480809971842	73.80378181518029	44.39206151501678	2.0685489598131745	9	73.80378181518029	73.80378181518029	0
OK	Task[1].Optimization1[1]/Subflow[57]	57	1	1	1	2	35.5688214920974	11.153903130276376	17.297433511565384	25.573046993172454	50.441606770017486	0.8726492229013872	73.49929438559263	44.2549585054968	2.062231903686952	9	73.49929438559263	73.49929438559263	0
OK	Task[1].Optimization1[1]/Subflow[59]	59	1	1	1	2	35.56769219569423	11.151104456586317	17.274828100907687	25.566843693636987	50.40044014548235	0.872517111955685	73.48884084627286	44.21845376811942	2.0606779293831035	9	73.48884084627286	73.48884084627286	0
