A	B	C	D	MeanLoad	MeanMass	ReliableLoad	SDLoad
43.19769858	9.709311079	12.56255493	24.58275003	49.76141807	0.878151706	43.9472362	1.938075487
43.19652441	9.680853082	16.89306622	24.0085837	55.89189609	0.894217843	49.55101907	2.113641884
43.19769858	9.709311079	12.69882683	24.27727687	49.84335742	0.877512772	44.01900047	1.941467207
43.19652441	9.676931289	16.89306622	24.0085837	55.88549719	0.894210789	49.54534252	2.113401097
43.19662478	9.602699814	12.09380793	24.01094057	48.99978306	0.873814777	43.21335324	1.928824735
43.19827361	9.70056843	12.58333291	24.00924516	49.63127141	0.875969115	43.82397839	1.935779187
43.19853772	9.621415215	15.89160019	24.00031683	54.17744059	0.88986028	47.89808274	2.093135335
43.19652441	9.705836033	16.63147114	24.00799186	55.49558224	0.893148469	49.17025253	2.108459408
43.19662478	9.611220886	12.09380793	24.0085461	49.0081012	0.8738208	43.22073048	1.92913837
28.80929552	14.37811231	17.01286182	24.00050454	46.51931963	0.842846901	40.6877011	1.94388775
28.82884326	14.24451092	16.55078008	24.00047474	45.69320102	0.840739301	39.89546053	1.932594985
43.19652441	9.684073439	16.85271263	24.0085837	55.82922931	0.894051435	49.49149081	2.112595701
28.804097	14.38472354	12.36961225	24.00044136	40.67399438	0.823309479	35.35819603	1.771946371
43.1999296	9.651022392	17.00423752	24.0120535	56.03850137	0.894666531	49.69167292	2.115625709
28.80457764	14.4076933	17.07188836	24.00162423	46.6413296	0.843134957	40.80286033	1.946171349
43.19992167	9.621913926	12.40957115	24.01030434	49.35333801	0.87512585	43.56802533	1.928452348
43.05388776	9.603803902	12.03764128	24.01669552	48.72227897	0.873077587	42.91249822	1.936608436
43.19992167	9.621913926	12.40957115	24.01030434	49.35333801	0.87512585	43.56802533	1.928452348
43.19652441	9.703989898	16.63147114	24.00799186	55.49262539	0.893145166	49.16763031	2.108347861
43.19827737	9.618533488	17.13212415	24.0027906	56.19769918	0.895115612	49.84044124	2.119102232
32.73560418	14.4095451	17.07315323	24.00558237	51.53529509	0.859693974	45.2046094	2.11024475
28.804097	14.39901376	12.36961225	24.00037392	40.68376838	0.823334192	35.36847533	1.771777939
43.19994587	9.618286108	12.40957115	24.01030434	49.3494291	0.875119398	43.56454756	1.928308633
28.80819974	14.0707925	12.03764128	24.01691573	40.18622789	0.821504763	34.85131756	1.778317081
31.79736021	14.39876268	17.14628443	24.00368808	50.40942539	0.856039957	44.16977415	2.0798997
43.1998598	9.960799247	12.64974902	24.58275003	50.1483999	0.8789515	44.29348569	1.951653037
28.80929552	14.37811231	17.01286182	24.00050454	46.51931963	0.842846901	40.6877011	1.94388775
28.8011725	9.641080717	12.24359482	24.00025224	37.26438409	0.814027615	32.21884227	1.681860174
28.8011725	9.641080717	12.24359482	24.0000431	37.26434177	0.814026801	32.21879605	1.681861471
32.26168869	14.40641128	17.0991395	24.01275359	50.95418824	0.857833621	44.67104911	2.094395774
28.80929552	14.39103972	17.01286182	24.00050454	46.53542877	0.842869728	40.70339505	1.944026148
28.80511033	14.39999927	16.87790863	24.00360808	46.3394677	0.842305956	40.52075537	1.939585652
28.82884326	14.24451092	16.55078008	24.00047474	45.69320102	0.840739301	39.89546053	1.932594985
35.29358293	14.40952858	17.25512237	24.05573177	55.08777502	0.871508282	48.42392919	2.221298978
28.80819329	14.39853583	12.2892688	24.01616113	40.61790304	0.823086553	35.30320336	1.771580148
28.8060189	14.16682808	12.02298524	24.01691573	40.24109725	0.821616677	34.90589734	1.778413611
43.19652441	9.680853082	16.89306622	24.0085837	55.89189609	0.894217843	49.55101907	2.113641884
43.19994587	9.609429309	12.40957115	24.01030434	49.33979247	0.875103403	43.55595378	1.927961018
