Config	A	B	C	D	MeanLoad	MeanMass	ReliableLoad	SDLoad
1	28.8	12.14852518	12	24	38.67372331	0.817500355	33.43757896	1.745394835
1	30.1329493	14.41996559	12	24	41.54842165	0.827499962	36.05654092	1.83064095
1	28.8	14.41996559	15.72898064	24	44.71577067	0.837500001	38.94298141	1.924277842
1	28.86180922	14.41996559	18	24	48.22304853	0.847499983	42.12324236	2.033284318
1	31.23516319	14.41996559	18	24	51.19746803	0.857500006	44.76636889	2.143716152
1	33.61095762	14.41996559	18	24	54.4183833	0.867500008	47.71555685	2.234292618
1	35.95841528	14.41996559	18	24	57.37418789	0.877500209	50.3680039	2.335412574
1	38.28862232	14.41996559	18	24	60.06210444	0.8875	52.71833691	2.447941283
1	40.65250711	14.41996559	18	24	62.95310708	0.897499999	55.31833963	2.544942002
1	43.2	14.41996559	17.96668389	24	67.16995732	0.9075	59.50750668	2.554169803
1	43.2	14.41996559	18	26.60133883	67.73544361	0.917500112	59.9647524	2.590250268
1	43.2	14.41996559	18	29.19384086	68.14268273	0.927500004	60.26667972	2.625354472
1	43.2	14.41996559	18	31.77759127	68.55122678	0.9375	60.58199082	2.656432359
1	43.2	14.41996559	18	34.3550349	68.99915311	0.947499997	60.95175545	2.68248646
2	28.8	12.14842196	12	24	38.67364701	0.81750016	33.4375112	1.74539199
2	28.8	14.41996559	13.36699352	24	41.71721195	0.827500016	36.27091197	1.815447247
2	28.8	14.41996559	15.7289806	24	44.71577062	0.837500001	38.94298137	1.924277842
2	28.8618133	14.41996559	18	24	48.22305296	0.8475	42.12324607	2.033284556
2	31.23516319	14.41996559	18	24	51.19746802	0.857500006	44.76636889	2.143716152
2	33.61095859	14.41996559	18	24	54.41838459	0.867500012	47.71555802	2.234292656
2	35.95836659	14.41996559	18	24	57.37412983	0.8775	50.36795266	2.3354103
2	38.28862051	14.41996559	18	24	60.06210236	0.887499992	52.7183351	2.447941196
2	40.65250729	14.41996559	18	24	62.95310732	0.8975	55.31833985	2.544942008
2	43.2	14.41996559	17.96668388	24	67.16995729	0.9075	59.50750665	2.5541698
2	43.2	14.41996559	18	26.60132752	67.73544174	0.917500068	59.96475099	2.590250116
2	43.2	14.41996559	18	29.19383987	68.14268258	0.9275	60.26667961	2.625354459
2	43.2	14.41996559	18	31.7775916	68.55122683	0.937500001	60.58199087	2.656432362
2	43.2	14.41996559	18	34.35503505	68.99915314	0.947499998	60.95175547	2.682486461
3	28.8	12.14852577	12	24	38.67372375	0.817500356	33.43757935	1.745394851
3	28.8	14.41996559	13.36699051	24	41.71720854	0.827500003	36.27090916	1.815447049
3	31.8763665	14.41996559	12.67638157	24	44.03817428	0.837500822	38.37615693	1.887353589
3	28.8618133	14.41996559	18	24	48.22305296	0.8475	42.12324607	2.033284556
3	31.55082366	14.41996559	17.70951495	24	51.09266692	0.857500085	44.74458146	2.116044714
3	33.67688427	14.41996559	17.93980591	24	54.38646529	0.867500682	47.70478193	2.22724487
3	35.95836656	14.41996559	18	24	57.37412979	0.8775	50.36795263	2.335410298
3	38.28862221	14.41996559	18	24	60.06210431	0.887499999	52.7183368	2.447941278
3	40.65250678	14.41996559	18	24	62.95310663	0.897499998	55.3183392	2.544941992
3	43.2	14.41996559	17.96668397	24	67.16995753	0.9075	59.50750684	2.554169817
3	43.2	14.41996559	18	26.60132627	67.73544154	0.917500064	59.96475084	2.590250099
3	43.2	14.41996559	18	29.19384098	68.14268275	0.927500004	60.26667973	2.625354473
3	43.2	14.41996559	18	31.77759133	68.55122679	0.9375	60.58199083	2.656432359
3	43.2	14.41996559	18	34.35503526	68.99915318	0.947499998	60.95175551	2.682486463
4	28.8	11.75620067	12.18710037	24	38.48334535	0.817500813	33.30151214	1.727290985
4	28.8	14.41996559	13.36698986	24	41.7172078	0.8275	36.27090855	1.815447007
4	31.99506799	14.41996559	12.55564509	24	44.03013346	0.837500072	38.3713736	1.886267752
4	34.11084229	14.41996559	12.82359192	24	46.60529204	0.847500002	40.72692024	1.959472292
4	31.9593467	14.41996559	17.3213015	24	50.95370191	0.857500061	44.66429497	2.096485057
4	34.15593805	14.41996559	17.48906325	24	54.13765266	0.867500745	47.5612927	2.1921368
4	36.30093189	14.41996559	17.67858468	24	57.11024646	0.877500365	50.19379076	2.305502915
4	38.58154201	14.41996559	17.72679718	24	59.79479731	0.8875	52.53330275	2.420516751
4	43.2	14.41996559	15.65634948	24	61.94006808	0.897500001	54.76092349	2.393066553
4	43.2	14.41996559	17.96672233	24	67.17005259	0.907500179	59.50758154	2.554176606
4	43.2	14.41996559	18	26.60132902	67.73544199	0.917500074	59.96475118	2.590250136
4	43.2	14.41996559	18	28.93841147	68.10338328	0.92651186	60.23748793	2.621985225
