Config	A	B	C	D	MeanLoad	MeanMass	ReliableLoad	SDLoad
1	28.8	12.14852518	12	24	38.67372331	0.817500355	33.43757896	1.745394835
1	30.1329493	14.41996559	12	24	41.54842165	0.827499962	36.05654092	1.83064095
1	28.8	14.41996559	15.72898064	24	44.71577067	0.837500001	38.94298141	1.924277842
1	28.86180922	14.41996559	18	24	48.22304853	0.847499983	42.12324236	2.033284318
1	31.23516319	14.41996559	18	24	51.19746803	0.857500006	44.76636889	2.143716152
1	33.61095762	14.41996559	18	24	54.4183833	0.867500008	47.71555685	2.234292618
1	35.95841528	14.41996559	18	24	57.37418789	0.877500209	50.3680039	2.335412574
1	38.28862232	14.41996559	18	24	60.06210444	0.8875	52.71833691	2.447941283
1	40.65250711	14.41996559	18	24	62.95310708	0.897499999	55.31833963	2.544942002
1	43.2	14.41996559	17.96668389	24	67.16995732	0.9075	59.50750668	2.554169803
1	43.2	14.41996559	18	26.60133883	67.73544361	0.917500112	59.9647524	2.590250268
1	43.2	14.41996559	18	29.19384086	68.14268273	0.927500004	60.26667972	2.625354472
1	43.2	14.41996559	18	31.77759127	68.55122678	0.9375	60.58199082	2.656432359
1	43.2	14.41996559	18	34.3550349	68.99915311	0.947499997	60.95175545	2.68248646
2	28.8	12.14852518	12	24	38.67372331	0.817500355	33.43757896	1.745394835
2	30.1329493	14.41996559	12	24	41.54842165	0.827499962	36.05654092	1.83064095
2	28.8	14.41996559	15.72898064	24	44.71577067	0.837500001	38.94298141	1.924277842
2	28.86180922	14.41996559	18	24	48.22304853	0.847499983	42.12324236	2.033284318
2	31.23516319	14.41996559	18	24	51.19746803	0.857500006	44.76636889	2.143716152
2	33.61095762	14.41996559	18	24	54.4183833	0.867500008	47.71555685	2.234292618
2	35.95841528	14.41996559	18	24	57.37418789	0.877500209	50.3680039	2.335412574
2	38.28862232	14.41996559	18	24	60.06210444	0.8875	52.71833691	2.447941283
2	40.65250711	14.41996559	18	24	62.95310708	0.897499999	55.31833963	2.544942002
2	43.2	14.41996559	17.96668389	24	67.16995732	0.9075	59.50750668	2.554169803
2	43.2	14.41996559	18	26.60133883	67.73544361	0.917500112	59.9647524	2.590250268
2	43.2	14.41996559	18	29.19384086	68.14268273	0.927500004	60.26667972	2.625354472
2	43.2	14.41996559	18	31.77759127	68.55122678	0.9375	60.58199082	2.656432359
2	43.2	14.41996559	18	34.3550349	68.99915311	0.947499997	60.95175545	2.68248646
3	28.8	12.14852518	12	24	38.67372331	0.817500355	33.43757896	1.745394835
3	30.1329493	14.41996559	12	24	41.54842165	0.827499962	36.05654092	1.83064095
3	28.8	14.41996559	15.72898064	24	44.71577067	0.837500001	38.94298141	1.924277842
3	28.86180922	14.41996559	18	24	48.22304853	0.847499983	42.12324236	2.033284318
3	31.23516319	14.41996559	18	24	51.19746803	0.857500006	44.76636889	2.143716152
3	33.61095762	14.41996559	18	24	54.4183833	0.867500008	47.71555685	2.234292618
3	35.95841528	14.41996559	18	24	57.37418789	0.877500209	50.3680039	2.335412574
3	38.28862232	14.41996559	18	24	60.06210444	0.8875	52.71833691	2.447941283
3	40.65250711	14.41996559	18	24	62.95310708	0.897499999	55.31833963	2.544942002
3	43.2	14.41996559	17.96668389	24	67.16995732	0.9075	59.50750668	2.554169803
3	43.2	14.41996559	18	26.60133883	67.73544361	0.917500112	59.9647524	2.590250268
3	43.2	14.41996559	18	29.19384086	68.14268273	0.927500004	60.26667972	2.625354472
3	43.2	14.41996559	18	31.77759127	68.55122678	0.9375	60.58199082	2.656432359
3	43.2	14.41996559	18	34.3550349	68.99915311	0.947499997	60.95175545	2.68248646
4	28.8	12.14852518	12	24	38.67372331	0.817500355	33.43757896	1.745394835
4	30.1329493	14.41996559	12	24	41.54842165	0.827499962	36.05654092	1.83064095
4	28.8	14.41996559	15.72898064	24	44.71577067	0.837500001	38.94298141	1.924277842
4	28.86180922	14.41996559	18	24	48.22304853	0.847499983	42.12324236	2.033284318
4	31.23516319	14.41996559	18	24	51.19746803	0.857500006	44.76636889	2.143716152
4	33.61095762	14.41996559	18	24	54.4183833	0.867500008	47.71555685	2.234292618
4	35.95841528	14.41996559	18	24	57.37418789	0.877500209	50.3680039	2.335412574
4	38.28862232	14.41996559	18	24	60.06210444	0.8875	52.71833691	2.447941283
4	40.65250711	14.41996559	18	24	62.95310708	0.897499999	55.31833963	2.544942002
4	43.2	14.41996559	17.96668389	24	67.16995732	0.9075	59.50750668	2.554169803
4	43.2	14.41996559	18	26.60133883	67.73544361	0.917500112	59.9647524	2.590250268
4	43.2	14.41996559	18	29.19384086	68.14268273	0.927500004	60.26667972	2.625354472
4	43.2	14.41996559	18	31.77759127	68.55122678	0.9375	60.58199082	2.656432359
