Config	A	B	C	D	MeanLoad	MeanMass	ReliableLoad	SDLoad
5	38.95889803	14.41996559	17.36507902	24	59.4484612	0.887500007	52.74434509	2.399410735
5	35.90322541	14.41996559	17.32485834	29.86979816	56.75726875	0.896607092	50.2110155	2.294168835
5	35.20610757	14.41996559	17.22877899	33.57704992	56.2213277	0.907500015	49.70980928	2.271012279
5	38.57612411	12.95870752	17.55473165	32.37493262	58.14937715	0.916559178	51.44350522	2.400581287
5	43.2	14.41996559	17.42357827	29.6135908	66.81016479	0.926500092	59.88399256	2.547448152
5	43.2	14.41996559	17.34779575	32.28494112	67.0574189	0.936500039	60.09965655	2.568508233
5	43.2	14.41996559	17.29917574	34.91450209	67.40724637	0.946500205	60.4210913	2.58743671
6	28.8	9.6	12.50171553	24.64388966	37.45156691	0.817499999	31.83507439	1.674328343
6	28.8	9.6	12.51152213	27.14142542	37.86823088	0.827500022	32.25911967	1.669407476
6	28.8	9.6	12.4725582	29.65521386	38.21916283	0.837500337	32.61423129	1.666621023
6	28.8	9.6	12.4012297	32.196314	38.57509741	0.847499993	32.98139279	1.659136418
6	28.8	9.6	12.36613037	34.6930481	38.97789666	0.857500332	33.40161445	1.647521474
6	28.8	10.87778989	12.87447567	36	40.01459611	0.866500007	34.4014354	1.672107139
6	31.90723828	9.626116252	12.47669086	36	41.85814776	0.87650008	36.13319228	1.746636988
6	29.52026762	9.6	17.23016817	36	43.37205295	0.886499981	37.5288553	1.8254651
6	32.12540109	9.6	16.98730698	36	46.0348322	0.896500013	40.05576988	1.916041549
6	34.40436629	9.6	17.05398137	36	48.70161275	0.906499998	42.59704467	1.99971205
6	38.57397616	12.92632522	17.55130428	32.38867454	58.08565335	0.91653729	51.38348202	2.398114215
6	43.2	9.6	13.05887706	36	52.73675035	0.926499998	46.57050619	2.040829437
6	43.2	13.40642608	14.28398786	36	59.61877566	0.9365	52.98366608	2.353406383
6	43.2	14.41996559	16.31105779	36	65.37110288	0.946499992	58.47216132	2.529294376
7	28.8	9.6	12.47955665	24.66671961	37.44798367	0.817500003	31.83155581	1.67428524
7	28.8	9.6	12.4807629	27.17245023	37.86181735	0.827499997	32.25281896	1.669332261
7	28.8	9.6	12.44359749	29.68416188	38.21312124	0.837500056	32.60832323	1.666532006
7	28.8	9.6	12.38001988	32.21748503	38.57127116	0.847500066	32.97762737	1.659095866
7	28.8	9.6	12.34019273	34.71861938	38.97379789	0.857500159	33.39758781	1.647473381
7	28.95109337	10.2746663	12.88839759	36	39.82517495	0.866500115	34.21640974	1.669176807
7	31.86215346	9.6	12.53145255	36	41.83284701	0.876499997	36.10853751	1.746206336
7	29.51970759	9.6	17.23072041	36	43.37205555	0.886499987	37.52885858	1.82546465
7	32.11672295	9.6	16.99591096	36	46.0344245	0.896500084	40.05537571	1.916032528
7	34.43581455	9.6	17.0226264	36	48.69624071	0.906499997	42.59176813	1.999648389
7	43.2	9.6	12.25381158	34.39037611	51.41512421	0.91650003	45.32081394	1.992873511
7	43.2	9.6	13.05887756	36	52.73675099	0.9265	46.57050677	2.040829475
7	43.2	9.6	15.38044524	36	56.05431261	0.936500002	49.64025785	2.206036508
7	43.2	9.6	17.70386414	36	59.92084882	0.946499984	53.33372188	2.321417961
8	28.8	9.6	12.47106572	24.67545415	37.44664146	0.817500002	31.83021995	1.674281004
8	28.8	9.6	12.4723827	27.18088987	37.86011272	0.827499995	32.2511226	1.669326745
8	28.8	9.6	12.42692086	29.70082817	38.20975156	0.837500012	32.60497642	1.666516757
8	28.8	9.6	12.37139898	32.22606006	38.56975012	0.84750002	32.97611124	1.659092588
8	28.8	9.6	12.3357014	34.72300824	38.97310233	0.857499997	33.3968935	1.647472559
8	28.98014277	10.14619218	12.8951089	36	39.789504	0.86649999	34.1810672	1.668957867
8	31.83927204	9.6	12.55498056	36	41.82439801	0.876500156	36.10018074	1.746144845
8	34.2028304	9.6	12.54855546	36	43.96768181	0.8865	38.14729536	1.810257636
8	32.11406336	9.6	16.99853531	36	46.03428612	0.896500056	40.05524073	1.916030257
