"Status Code/Type"	"Row Name"	"Run #"	"Mapped Attributes and Options.Output Constraint Attributes.MeanMass - Lower Bound"	"Mapped Attributes and Options.Output Constraint Attributes.MeanMass - Upper Bound"	A	B	C	D	TargetMass	MeanLoad	MeanMass	"Optimization1 Results.Constraint Values at Optimum.MeanMass (Lower Bound Constraint)"	"Optimization1 Results.Constraint Values at Optimum.MeanMass (Upper Bound Constraint)"	"Optimization1 Results.Optimal Design.A"	"Optimization1 Results.Optimal Design.B"	"Optimization1 Results.Optimal Design.C"	"Optimization1 Results.Optimal Design.D"	"Optimization1 Results.Optimal Design.MeanLoad"	"Optimization1 Results.Optimal Design.MeanMass"	"Optimization1 Results.Optimal Design.Objective and Penalty"	"Optimization1 Results.Optimal Design.Objective Function"	"Optimization1 Results.Optimal Design.Penalty Function"	"Optimization1 Results.Optimal Design.ReliableLoad"	"Optimization1 Results.Optimal Design.Run #"	"Optimization1 Results.Optimal Design.SDLoad"	ReliableLoad	SDLoad
OK	Task[1].Loop[1]/Subflow[1]	1	0.8165	0.8174999999999999	36	12	15	30	0.817	37.356941554195984	0.8165000055980087	-0.0000000063361729	-0.0011318555766736	28.8	9.6	12	24.894445988700372	37.356941554195984	0.8165000055980087	0.7561339295311453	0.7561339295311453	0	32.29358613363359	66	1.687798083867924	32.29358613363359	1.687798083867924
OK	Task[1].Loop[1]/Subflow[2]	2	0.8175	0.8184999999999999	36	12	15	30	0.818	37.40200819451351	0.8175000025110153	-0.0000000028421226	-0.0011318590707239	28.8	9.6	12	25.14742942195343	37.40200819451351	0.8175000025110153	0.7570294970947135	0.7570294970947135	0	32.34156750982629	76	1.686826497809756	32.34156750982629	1.686826497809756
OK	Task[1].Loop[1]/Subflow[3]	3	0.8185	0.8194999999999999	36	12	15	30	0.819	37.44570280644506	0.8185000037772425	-0.0000000042753169	-0.0011318576375296	28.8	9.6	12	25.399632443602467	37.44570280644506	0.8185000037772425	0.7578983332299316	0.7578983332299316	0	32.387798359086126	76	1.6859810789008294	32.387798359086126	1.6859810789008294
OK	Task[1].Loop[1]/Subflow[4]	4	0.8195	0.8204999999999999	36	12	15	30	0.82	37.48815480817427	0.8195000030282451	-0.0000000034275553	-0.0011318584852912	28.8	9.6	12	25.651129896984557	37.48815480817427	0.8195000030282451	0.7587429311270055	0.7587429311270055	0	32.43245915990852	81	1.6852448069055903	32.43245915990852	1.6852448069055903
OK	Task[1].Loop[1]/Subflow[5]	5	0.8205	0.8214999999999999	36	12	15	30	0.821	37.529486656387625	0.820500003889514	-0.0000000044023928	-0.0011318575104537	28.8	9.6	12	25.901993904432334	37.529486656387625	0.820500003889514	0.7595656509117746	0.7595656509117746	0	32.47572011466786	81	1.684601766473523	32.47572011466786	1.684601766473523
OK	Task[1].Loop[1]/Subflow[6]	6	0.8215	0.8224999999999999	36	12	15	30	0.822	37.569813723140356	0.8215000040873142	-0.0000000046262752	-0.0011318572865713	28.8	9.6	12	26.152290215064337	37.569813723140356	0.8215000040873142	0.7603687168438176	0.7603687168438176	0	32.517741211261054	81	1.684037085543117	32.517741211261054	1.684037085543117
OK	Task[1].Loop[1]/Subflow[7]	7	0.8225	0.8234999999999999	36	12	15	30	0.823	37.6092451602717	0.8225000041716908	-0.0000000047217779	-0.0011318571910686	28.8	9.6	12	26.402080704744996	37.6092451602717	0.8225000041716908	0.7611542342050275	0.7611542342050275	0	32.5586733004431	81	1.6835368643690916	32.5586733004431	1.6835368643690916
OK	Task[1].Loop[1]/Subflow[8]	8	0.8235	0.8244999999999999	36	12	15	30	0.824	37.64788419182681	0.8235000041624819	-0.0000000047113547	-0.0011318572014918	28.8	9.6	12	26.651422799705195	37.64788419182681	0.8235000041624819	0.7619241948495561	0.7619241948495561	0	32.59865854893452	81	1.6830881219603326	32.59865854893452	1.6830881219603326
OK	Task[1].Loop[1]/Subflow[9]	9	0.8245	0.8254999999999999	36	12	15	30	0.825	37.68582851633529	0.8245000040989744	-0.000000004639473	-0.0011318572733735	28.8	9.6	12	26.90036984558794	37.68582851633529	0.8245000040989744	0.7626804849771871	0.7626804849771871	0	32.63783098757768	81	1.682678747453187	32.63783098757768	1.682678747453187
OK	Task[1].Loop[1]/Subflow[10]	10	0.8255	0.8264999999999999	36	12	15	30	0.826	37.72317063859767	0.8255000040581789	-0.0000000045932981	-0.0011318573195484	28.8	9.6	12	27.14897131165187	37.72317063859767	0.8255000040581789	0.7634248915371276	0.7634248915371276	0	32.676316967478854	81	1.682297458659085	32.676316967478854	1.682297458659085
OK	Task[1].Loop[1]/Subflow[11]	11	0.8265	0.8274999999999999	36	12	15	30	0.827	37.75999815064561	0.8265000039570425	-0.0000000044788257	-0.0011318574340208	28.8	9.6	12	27.3972729135646	37.75999815064561	0.8265000039570425	0.7641591076495421	0.7641591076495421	0	32.71423554695953	81	1.6819337667340415	32.71423554695953	1.6819337667340415
OK	Task[1].Loop[1]/Subflow[12]	12	0.8275	0.8284999999999999	36	12	15	30	0.828	37.79639394884756	0.8275000026353507	-0.0000000029828531	-0.0011318589299934	28.8	9.6	12	27.645316533497976	37.79639394884756	0.8275000026353507	0.7648847367817085	0.7648847367817085	0	32.75169879774203	86	1.681577946486203	32.75169879774203	1.681577946486203
OK	Task[1].Loop[1]/Subflow[13]	13	0.8285	0.8294999999999999	36	12	15	30	0.829	37.832436632077524	0.8285000028976336	-0.0000000032797211	-0.0011318586331254	28.8	9.6	12	27.893141595503845	37.832436632077524	0.8285000028976336	0.7656033005588241	0.7656033005588241	0	32.78881228405235	86	1.6812210093956583	32.78881228405235	1.6812210093956583
OK	Task[1].Loop[1]/Subflow[14]	14	0.8295	0.8304999999999999	36	12	15	30	0.83	37.86820036599331	0.8295000026840071	-0.0000000030379254	-0.0011318588749211	28.8	9.6	12	28.140782981838203	37.86820036599331	0.8295000026840071	0.7663162359525929	0.7663162359525929	0	32.825674980212156	86	1.6808546858443867	32.825674980212156	1.6808546858443867
OK	Task[1].Loop[1]/Subflow[15]	15	0.8305	0.8314999999999999	36	12	15	30	0.831	37.90375530391442	0.8305000023388598	-0.0000000026472663	-0.0011318592655802	28.8	9.6	12	28.388272924016146	37.90375530391442	0.8305000023388598	0.767024903586625	0.767024903586625	0	32.86237975040345	86	1.6804714054870393	32.86237975040345	1.6804714054870393
OK	Task[1].Loop[1]/Subflow[16]	16	0.8315	0.8324999999999999	36	12	15	30	0.832	37.93916762191255	0.8315000019565845	-0.0000000022145834	-0.0011318596982631	28.8	9.6	12	28.635640417388714	37.93916762191255	0.8315000019565845	0.7677305883678964	0.7677305883678964	0	32.899013421791025	86	1.6800642845732199	32.899013421791025	1.6800642845732199
OK	Task[1].Loop[1]/Subflow[17]	17	0.8325	0.8334999999999999	36	12	15	30	0.833	37.97449963461111	0.8325000015684996	-0.0000000017753249	-0.0011318601375216	28.8	9.6	12	28.882911326815506	37.97449963461111	0.8325000015684996	0.7684345017430347	0.7684345017430347	0	32.93565693218831	86	1.6796271153253812	32.93565693218831	1.6796271153253812
OK	Task[1].Loop[1]/Subflow[18]	18	0.8335	0.8344999999999999	36	12	15	30	0.834	38.00980988532743	0.8335000011918918	-0.0000000013490569	-0.0011318605637896	28.8	9.6	12	29.130108446021254	38.00980988532743	0.8335000011918918	0.7691377834569706	0.7691377834569706	0	32.97238544376365	86	1.6791543580838244	32.97238544376365	1.6791543580838244
OK	Task[1].Loop[1]/Subflow[19]	19	0.8345	0.8354999999999999	36	12	15	30	0.835	38.045153216072265	0.8345000008362677	-0.0000000009465396	-0.0011318609663069	28.8	9.6	12	29.377251535789203	38.045153216072265	0.8345000008362677	0.7698415029222255	0.7698415029222255	0	33.00926842937911	86	1.678641135861139	33.00926842937911	1.678641135861139
OK	Task[1].Loop[1]/Subflow[20]	20	0.8355	0.8364999999999999	36	12	15	30	0.836	38.08058082148161	0.8355000005285291	-0.000000000598222	-0.0011318613146245	28.8	9.6	12	29.62435735769739	38.08058082148161	0.8355000005285291	0.7705466602784679	0.7705466602784679	0	33.046369736620655	86	1.6780832309746838	33.046369736620655	1.6780832309746838
