Status Code/Type	Row Name	Run #	Weight_MeanLoad	Weight_MeanMass	Weight_ReliableLoad	Weight_SDLoad	A	B	C	D	MeanLoad	MeanMass	ObjFunc	ReliableLoad	SDLoad	Design Feasibility	Objective and Penalty	Objective Function	Penalty Function
OK	Task[1].Optimization1[1]/Subflow[19]	19	1	1	1	2	38.58303502	14.24367113	14.81464866	25.57857633	54.12728396	0.880696878	115.473942	47.28994576	2.279130215	7	115.473942	115.473942	0
OK	Task[1].Optimization1[1]/Subflow[33]	33	1	1	1	2	35.58591897	12.58729751	17.99588006	26.22384985	54.10671855	0.880908844	93.17802321	47.39621939	2.23685021	9	93.17802321	93.17802321	0
OK	Task[1].Optimization1[1]/Subflow[213]	213	1	1	1	2	35.84410163	13.68522146	17.63048753	25.59011215	55.52467962	0.879977637	72.47699522	48.74654427	2.259395778	9	72.47699522	72.47699522	0
OK	Task[1].Optimization1[1]/Subflow[1656]	1656	1	1	1	2	42.49994049	10.06982437	12.60993362	25.48793774	49.36815406	0.87985937	55.69153977	43.4181548	1.983348297	9	55.69153977	55.69153977	0
OK	Task[1].Optimization1[1]/Subflow[1817]	1817	1	1	1	2	43.12111696	9.659426752	13.42623026	24.02801556	50.50672075	0.879236497	24.89839857	44.55429706	1.984156447	9	24.89839857	24.89839857	0
OK	Task[1].Optimization1[1]/Subflow[1895]	1895	1	1	1	2	43.12111696	9.650012613	13.42623026	24.08899062	50.51125297	0.879458701	24.85334261	44.55919347	1.984035047	9	24.85334261	24.85334261	0
OK	Task[1].Optimization1[1]/Subflow[2003]	2003	1	1	1	2	43.17956512	10.60164967	13.09837491	24.24994278	51.37689098	0.88051408	17.43930824	45.35830891	2.006209408	9	17.43930824	17.43930824	0
OK	Task[1].Optimization1[1]/Subflow[7432]	7432	1	1	1	2	43.19802243	9.65589645	12.77656214	25.02796979	50.06010768	0.880714024	11.88664938	44.21948296	1.946889837	9	11.88664938	11.88664938	0
