A	B	C	D	Mean Eigval	Mean Mass	Reliable Eigval	SD Eigval	SD Mass
28.5813462	12.82402994	15.05402348	34.3443026	41.74515362	0.87087032	37.66232301	1.755038729	0.000951423
28.59523991	11.68909839	16.32410962	35.30570297	42.06109619	0.878579364	37.95205247	1.766306648	0.000979881
28.92358273	10.43576729	16.85930589	30.2130107	41.16244759	0.860793899	37.16132307	1.719916685	0.000914626
28.62401974	12.68825808	15.61385155	28.20374538	41.44733159	0.849120841	37.37894557	1.748829597	0.000869645
28.63890586	12.71248503	17.60622214	30.36664612	44.06399968	0.866066827	39.72033206	1.867161686	0.000913974
28.65279957	11.13611831	13.16999054	31.48411148	38.50980781	0.849391219	34.89922813	1.552037731	0.000904718
28.66669328	11.87827047	13.46493756	33.73204763	39.44755389	0.86072676	35.68060498	1.619254351	0.000937596
28.6815794	13.29938283	15.67999665	27.12229501	42.11717502	0.846575839	37.97019228	1.782615054	0.000855872
28.96782172	13.61416323	12.36835683	25.56451642	38.93443447	0.828440019	35.15647863	1.623985767	0.000816133
28.71035922	13.50309109	15.59581198	28.84101077	42.52264861	0.853299648	38.33846549	1.798605945	0.000877306
28.72425293	14.25967847	13.20015672	34.3202926	41.2773399	0.865740841	37.23050495	1.739565691	0.000935847
29.0119021	9.93066772	13.55659197	27.58960535	37.71707371	0.83534699	34.23435559	1.497075376	0.000859278
29.02592767	12.95764496	12.55440575	29.32907939	39.16287726	0.842820181	35.39864295	1.618087451	0.000868795
28.76692647	9.952732873	15.36099687	29.99449113	39.15681084	0.851555382	35.43364615	1.600433339	0.00090285
29.09715031	12.31364253	17.86225617	31.29533579	44.48782198	0.872946685	40.09286066	1.88921071	0.000933504
29.06900622	10.03687216	12.2543494	25.23030732	36.64992955	0.820806236	33.33404143	1.425362111	0.000818803
28.81059242	10.94694623	15.88464558	31.94130188	40.73457927	0.863120218	36.79504837	1.693440153	0.000931904
28.82448613	13.17814715	16.42042089	28.99707576	43.25800197	0.857305377	39.00096094	1.829924525	0.000887851
28.83837984	10.18066807	15.74022878	27.27836001	39.39448457	0.842923886	35.62078881	1.622154539	0.000867573
28.85326596	12.95980179	13.30849437	31.91729188	40.1426409	0.8552785	36.26310981	1.667648735	0.000908022
29.14113775	11.04104167	12.9624744	31.43747267	38.5365393	0.850457621	34.93164699	1.549592968	0.00090973
28.88204578	9.962423652	16.95008279	28.57690078	40.45235929	0.853087224	36.53834212	1.682472863	0.000895944
28.89593949	11.96558843	15.02997071	34.813498	41.18049744	0.872777649	37.17757248	1.720690615	0.000966351
29.18521813	10.40381503	14.58875385	25.30270276	38.54423606	0.832066881	34.88640631	1.57234857	0.000836728
28.92471932	13.76009862	16.87181109	31.0519315	44.92117496	0.868596142	40.502418	1.899439464	0.000918474
29.21326928	11.74106658	12.47636912	29.59089304	38.34320257	0.842328629	34.72420558	1.555655983	0.000878241
28.95349915	11.67940761	12.78484566	32.06135187	38.77220096	0.852123191	35.10834747	1.574937925	0.000913179
28.96739286	12.17414207	15.10222922	29.09311576	40.79435564	0.851022487	36.81572204	1.710248773	0.000884076
29.25734966	10.77065742	12.81239626	31.6278826	38.38753793	0.850712821	34.82328878	1.53212217	0.000914402
28.99617269	11.85878797	16.53477174	25.65668466	41.51692381	0.843330416	37.43734901	1.75363919	0.000851294
29.0100664	12.71733042	17.07044683	24.91137428	43.0076365	0.844366657	38.75958865	1.826058735	0.000845752
29.02495251	13.18783793	14.66877838	26.70212003	41.1274446	0.841956314	37.09572383	1.733068734	0.000848479
29.03884622	13.78442651	12.91723608	33.02275224	40.77011957	0.860062028	36.8062007	1.703923522	0.000921377
29.05373234	13.44484547	14.27752009	25.49961925	40.83417598	0.836345994	36.82921611	1.721565342	0.000831084
29.06762605	12.11589645	16.96210918	24.97139928	42.22107699	0.843273864	38.05768731	1.789667717	0.000847151
29.08251217	10.81117438	13.94649393	28.63692578	38.84217074	0.842699747	35.17383735	1.576863647	0.000875539
29.37255974	10.18165986	14.02461194	27.99422645	38.50455207	0.840845557	34.8980905	1.550267528	0.000872592
29.11029959	14.36637798	16.92603003	26.41299963	45.12283635	0.853018506	40.65803604	1.919231581	0.000861889
29.12518571	10.10304089	17.41961279	34.87352299	42.04510664	0.881802906	37.96167076	1.755298905	0.00099532
