"Status Code/Type"	"Row Name"	"Run #"	abaqus_sim_end	abaqus_sim_start	panel__stiffener__Shell_extrude_1__A_sketch	panel__stiffener__Shell_extrude_1__B_sketch	panel__stiffener__Shell_extrude_1__C_sketch	panel__stiffener__Shell_extrude_1__D_sketch	panel__T800M21GPa__elastic_table[0,0]	panel__T800M21GPa__elastic_table[0,1]	panel__T800M21GPa__elastic_table[0,2]	panel__T800M21GPa__elastic_table[0,3]	panel__T800M21GPa__elastic_table[0,4]	panel__T800M21GPa__elastic_table[0,5]	abaqus_sim_time	buckle__Mass	Eigval
OK	Task[1].DOE[1]/Subflow[68]	68	502288.129	502223.702	31.5036	9.8904	12.96	32.022	157.5426	8.96103	0.33	5.0424	5.0424	3.16789	64.42700000002515	0.860498	44.078
OK	Task[1].DOE[1]/Subflow[69]	69	502294.89	502224.659	37.5516	11.4828	18.1335	29.238	154.6097	7.10451	0.33	4.42752	4.42752	3.30336	70.23100000002887	0.899156	55.2
OK	Task[1].DOE[1]/Subflow[70]	70	502372.42	502268.325	38.1096	13.9236	14.652	25.125	152.5108	9.03393	0.33	5.15088	5.15088	2.80333	104.09499999997206	0.875372	53.957
OK	Task[1].DOE[1]/Subflow[71]	71	502330.642	502276.052	31.8996	12.5172	12.0645	26.253	137.4293	7.94772	0.33	4.35504	4.35504	3.52284	54.589999999967404	0.839599	38.995
OK	Task[1].DOE[1]/Subflow[72]	72	502366.944	502281.001	35.9604	13.5516	17.073	32.952	139.9452	8.25228	0.33	5.45472	5.45472	3.53214	85.9430000000284	0.905795	53.027
OK	Task[1].DOE[1]/Subflow[73]	73	502367.229	502283.207	37.9512	11.8812	17.238	35.538	125.4892	8.99748	0.33	5.0208	5.0208	2.74722	84.0219999999972	0.922742	48.113
OK	Task[1].DOE[1]/Subflow[74]	74	502384.34	502284.212	43.0452	12.066	15.4815	33.615	137.0123	6.92145	0.33	4.73136	4.73136	2.79403	100.12800000002608	0.929444	56.826
OK	Task[1].DOE[1]/Subflow[76]	76	502364.144	502288.241	33.8112	9.4128	13.59	35.871	135.3304	8.15508	0.33	5.26656	5.26656	2.91059	75.90299999999115	0.888089	40.388
OK	Task[1].DOE[1]/Subflow[77]	77	502387.861	502292.301	34.29	14.5608	16.2435	24.66	138.2633	8.08137	0.33	5.42592	5.42592	3.09752	95.55999999999767	0.865556	50.195
OK	Task[1].DOE[1]/Subflow[78]	78	502347.701	502295.023	29.1132	10.926	12.7275	27.579	147.062	7.16607	0.33	5.20176	5.20176	3.29406	52.678000000014435	0.833056	40.264
OK	Task[1].DOE[1]/Subflow[79]	79	502406.726	502295.059	40.1796	10.2624	17.04	33.549	142.8781	7.92261	0.33	5.36064	5.36064	2.70971	111.66700000001583	0.921226	52.943
OK	Task[1].DOE[1]/Subflow[80]	80	502390.183	502296.212	41.454	14.1888	13.491	25.788	121.0829	8.02062	0.33	4.88304	4.88304	3.00886	93.97100000001956	0.887632	47.602
OK	Task[1].DOE[1]/Subflow[82]	82	502422.049	502302.996	29.592	14.3484	14.9175	27.246	144.5461	8.30169	0.33	4.68048	4.68048	2.70041	119.05300000001444	0.849155	43.429
OK	Task[1].DOE[1]/Subflow[84]	84	502390.564	502330.767	32.5368	10.4748	13.7565	24.195	144.977	8.72856	0.33	5.33184	5.33184	3.41558	59.79700000002049	0.837945	41.765
OK	Task[1].DOE[1]/Subflow[102]	102	502499.282	502417.347	37.872	14.0292	14.187	26.451	130.5071	9.05823	0.33	4.15248	4.15248	2.87339	81.93499999999767	0.877548	46.234
OK	Task[1].DOE[1]/Subflow[109]	109	502494.756	502422.266	28.638	12.7296	17.571	27.447	127.1572	8.82657	0.33	4.39824	4.39824	3.14433	72.48999999999069	0.85408	39.913
OK	Task[1].DOE[1]/Subflow[111]	111	502504.489	502438.292	29.3544	12.57	15.216	30.498	121.9169	7.27542	0.33	4.39104	4.39104	3.47138	66.19699999998556	0.858713	36.372
OK	Task[1].DOE[1]/Subflow[112]	112	502512.571	502438.867	35.5608	12.8352	15.1485	23.466	122.7648	7.7517	0.33	4.18128	4.18128	3.19114	73.7039999999688	0.858285	42.298
OK	Task[1].DOE[1]/Subflow[113]	113	502483.516	502439.27	40.338	9.5196	14.553	26.649	134.7049	8.75367	0.33	4.13088	4.13088	3.01351	44.24599999998463	0.882589	46.06
OK	Task[1].DOE[1]/Subflow[115]	115	502515.415	502442.652	40.896	9.678	16.608	24.261	134.4964	8.5212	0.33	4.96992	4.96992	3.38737	72.76299999997718	0.884433	48.783
