"Status Code/Type"	"Row Name"	"Run #"	abaqus_sim_end	abaqus_sim_start	panel__stiffener__Shell_extrude_1__A_sketch	panel__stiffener__Shell_extrude_1__B_sketch	panel__stiffener__Shell_extrude_1__C_sketch	panel__stiffener__Shell_extrude_1__D_sketch	panel__T800M21GPa__elastic_table[0,0]	panel__T800M21GPa__elastic_table[0,1]	panel__T800M21GPa__elastic_table[0,2]	panel__T800M21GPa__elastic_table[0,3]	panel__T800M21GPa__elastic_table[0,4]	panel__T800M21GPa__elastic_table[0,5]	abaqus_sim_time	buckle__Mass	Eigval
OK	Task[1].DOE[1]/Subflow[1]	1	510393.865	510308.227	33.732	12.7824	16.476	30.564	120.0404	8.14293	0.33	4.42032	4.42032	2.6536	85.63799999997718	0.883217	42.759
OK	Task[1].DOE[1]/Subflow[2]	2	510442.682	510393.948	33.0948	11.7216	12.4635	35.472	139.9452	7.03161	0.33	4.82544	4.82544	2.77047	48.73399999999674	0.881434	41.023
OK	Task[1].DOE[1]/Subflow[3]	3	510485.728	510442.748	28.08	9.7848	14.9835	29.967	134.9134	8.39889	0.33	4.70976	4.70976	3.28941	42.97999999998137	0.846123	38.166
OK	Task[1].DOE[1]/Subflow[4]	4	510532.883	510485.795	35.244	10.6068	15.912	34.809	141.4047	6.9579	0.33	4.83264	4.83264	3.51819	47.087999999988824	0.901055	48.834
OK	Task[1].DOE[1]/Subflow[5]	5	510583.999	510532.962	41.1336	11.2704	12.828	33.216	123.1818	8.88732	0.33	5.21616	5.21616	2.84983	51.037000000011176	0.907382	45.189
OK	Task[1].DOE[1]/Subflow[6]	6	510653.083	510584.064	36.2772	12.7032	16.641	36.402	150.8428	7.11666	0.33	5.33904	5.33904	3.05102	69.01899999997113	0.917707	55.159
OK	Task[1].DOE[1]/Subflow[7]	7	510700.286	510653.147	30.546	11.058	14.784	26.052	156.7086	9.11979	0.33	4.71696	4.71696	2.77977	47.13900000002468	0.842071	44.307
OK	Task[1].DOE[1]/Subflow[8]	8	510755.447	510700.354	33.4116	9.6516	17.205	25.323	122.1254	7.88616	0.33	4.49232	4.49232	3.03676	55.09299999999348	0.859388	40.369
OK	Task[1].DOE[1]/Subflow[9]	9	510812.66	510755.515	31.3452	14.0832	16.1775	34.278	155.8746	8.58195	0.33	5.32464	5.32464	3.05567	57.14499999996042	0.888489	54.275
OK	Task[1].DOE[1]/Subflow[10]	10	510907.696	510812.727	36.6768	11.9868	17.736	30.099	124.6413	6.89715	0.33	4.36224	4.36224	3.08822	94.96899999998277	0.897942	45.793
OK	Task[1].DOE[1]/Subflow[11]	11	510996.627	510907.764	41.6124	11.6952	17.835	28.509	142.6696	9.15624	0.33	5.28864	5.28864	3.03211	88.8629999999539	0.912573	61.242
OK	Task[1].DOE[1]/Subflow[12]	12	511057.709	510996.692	32.9364	12.9948	16.0785	31.227	152.7193	6.885	0.33	4.5288	4.5288	2.78442	61.01699999999255	0.881099	51.229
OK	Task[1].DOE[1]/Subflow[13]	13	511137.199	511057.774	37.1556	11.8272	18.201	30.297	132.189	8.09352	0.33	4.5792	4.5792	3.565	79.42500000004657	0.902476	49.4
OK	Task[1].DOE[1]/Subflow[14]	14	511204.615	511137.267	28.5588	13.3404	14.4195	34.545	136.5953	7.89831	0.33	4.18128	4.18128	2.90129	67.34799999999814	0.86911	39.87
OK	Task[1].DOE[1]/Subflow[15]	15	511251.859	511204.68	38.826	10.6596	12.861	32.223	144.3376	7.22682	0.33	4.08	4.08	2.9481	47.179000000003725	0.892925	47.564
