Status Code/Type	Row Name	Run #	Weight_MeanLoad	Weight_MeanMass	Weight_ReliableLoad	Weight_SDLoad	A	B	C	D	MeanLoad	MeanMass	ObjFunc	ReliableLoad	SDLoad	Design Feasibility	Objective and Penalty	Objective Function	Penalty Function
OK	Task[1].Optimization1[1]/Subflow[7]	7	1	1	1	2	35.60911179	11.91561985	14.66573906	29.92327309	48.4890443	0.880152035	129.2518575	42.29054714	2.066181565	7	129.2518575	129.2518575	0
OK	Task[1].Optimization1[1]/Subflow[26]	26	1	1	1	2	36.28217697	13.00325108	15.26164246	28.03948212	51.21439286	0.879993709	120.7653124	44.713868	2.166858237	9	120.7653124	120.7653124	0
OK	Task[1].Optimization1[1]/Subflow[66]	66	1	1	1	2	43.2	13.80861473	12	24	54.15720396	0.880922749	32.05474921	47.74711993	2.136711062	9	32.05474921	32.05474921	0
OK	Task[1].Optimization1[1]/Subflow[68]	68	1	1	1	2	43.2	13.81343555	12	24	54.16364106	0.880931789	32.00339835	47.75306585	2.136874791	9	32.00339835	32.00339835	0
OK	Task[1].Optimization1[1]/Subflow[69]	69	1	1	1	2	43.2	13.80861473	12.00599957	24	54.16596263	0.88094622	31.78752119	47.75617009	2.136613898	9	31.78752119	31.78752119	0
OK	Task[1].Optimization1[1]/Subflow[88]	88	1	1	1	2	43.2	10.00090313	13.18265533	24.32600021	50.80483538	0.880255368	15.44134118	44.86090891	1.981324018	9	15.44134118	15.44134118	0
OK	Task[1].Optimization1[1]/Subflow[89]	89	1	1	1	2	43.2	9.650392532	13.11428356	24.24892807	50.28076188	0.879054812	14.45389092	44.39851149	1.960765166	9	14.45389092	14.45389092	0
OK	Task[1].Optimization1[1]/Subflow[92]	92	1	1	1	2	43.2	9.638969421	12.77610207	24.6088047	49.94241547	0.879027151	11.50184606	44.11186699	1.943531066	9	11.50184606	11.50184606	0
