Run #	"panel__T800M21GPa__elastic_table[0,0]"	Status Code/Type	Row Name	abaqus_sim_end	abaqus_sim_start	panel__stiffener__Shell_extrude_1__A_sketch	panel__stiffener__Shell_extrude_1__B_sketch	panel__stiffener__Shell_extrude_1__C_sketch	panel__stiffener__Shell_extrude_1__D_sketch	"panel__T800M21GPa__elastic_table[0,1]"	"panel__T800M21GPa__elastic_table[0,2]"	"panel__T800M21GPa__elastic_table[0,3]"	"panel__T800M21GPa__elastic_table[0,4]"	"panel__T800M21GPa__elastic_table[0,5]"	abaqus_sim_time	buckle__Mass	Eigval
82	131.355	OK	Task[1].DOE[1]/Subflow[82]	504377.745	504289.443	42.4872	12.4644	17.5365	25.854	8.85087	0.33	4.23216	4.23216	3.21439	88.302	0.906059	56.657
84	129.8816	OK	Task[1].DOE[1]/Subflow[84]	504415.015	504306.736	38.6676	14.1624	14.22	30.963	7.26327	0.33	4.0944	4.0944	2.95275	108.279	0.898472	46.63
85	125.6977	OK	Task[1].DOE[1]/Subflow[85]	504381.608	504306.889	31.2624	10.9788	18.168	28.374	8.41104	0.33	5.23056	5.23056	2.73327	74.719	0.868451	43.274
86	132.8145	OK	Task[1].DOE[1]/Subflow[86]	504378.74	504309.966	38.0304	14.4276	16.542	27.315	7.05591	0.33	4.92672	4.92672	2.71901	68.774	0.892231	52.492
87	157.7511	OK	Task[1].DOE[1]/Subflow[87]	504400.664	504311.773	35.802	12.3576	16.7085	36.201	8.20368	0.33	4.60848	4.60848	3.40597	88.891	0.914695	56.209
88	136.8038	OK	Task[1].DOE[1]/Subflow[88]	504408.173	504339.012	29.9124	13.6848	18.1005	33.084	7.30053	0.33	4.85424	4.85424	3.22865	69.161	0.885244	48.641
89	126.7402	OK	Task[1].DOE[1]/Subflow[89]	504450.895	504361.837	34.8444	9.5724	17.9025	34.41	8.11863	0.33	5.064	5.064	3.19114	89.058	0.904949	45.651
90	153.5672	OK	Task[1].DOE[1]/Subflow[90]	504430.61	504375.445	28.7964	11.8536	12.297	28.575	7.81326	0.33	4.38384	4.38384	2.96205	55.165	0.835279	41.309
91	126.3232	OK	Task[1].DOE[1]/Subflow[91]	504435.316	504377.829	33.5736	9.9708	12.4965	23.997	7.7274	0.33	4.75296	4.75296	3.13038	57.487	0.835392	35.823
92	145.1855	OK	Task[1].DOE[1]/Subflow[92]	504450.116	504378.832	33.8904	13.446	16.3095	33.417	9.27855	0.33	4.40544	4.40544	2.77047	71.284	0.89544	51.23
93	156.5001	OK	Task[1].DOE[1]/Subflow[93]	504444.903	504381.706	36.5976	14.5872	12.795	28.308	8.26524	0.33	4.45632	4.45632	3.20509	63.197	0.874317	52.735
94	150.2173	OK	Task[1].DOE[1]/Subflow[94]	504457.933	504400.751	29.196	13.7904	14.022	33.681	8.93673	0.33	4.5432	4.5432	3.39667	57.182	0.867428	44.012
95	159.85	OK	Task[1].DOE[1]/Subflow[95]	504461.63	504408.265	32.22	10.872	14.619	32.421	7.77681	0.33	5.20896	5.20896	2.73792	53.365	0.873454	46.617
96	120.4574	OK	Task[1].DOE[1]/Subflow[96]	504488.308	504415.099	40.4172	11.2176	16.6755	31.692	9.02178	0.33	5.22336	5.22336	3.44813	73.209	0.914478	47.493
97	126.1147	OK	Task[1].DOE[1]/Subflow[97]	504490.982	504419.352	34.2108	10.1292	11.8995	30.963	9.07038	0.33	5.0496	5.0496	3.35017	71.63	0.863507	37.117
98	143.5036	OK	Task[1].DOE[1]/Subflow[98]	504498.955	504429.352	38.4264	13.128	13.425	36.135	8.74071	0.33	4.1016	4.1016	3.18184	69.603	0.912723	50.724
99	149.5779	OK	Task[1].DOE[1]/Subflow[99]	504515.097	504430.713	37.4724	11.7744	17.703	25.455	7.78896	0.33	5.44752	5.44752	3.42953	84.384	0.882727	54.407
100	147.2705	OK	Task[1].DOE[1]/Subflow[100]	504502.179	504435.413	29.9916	10.7136	15.249	34.875	7.99632	0.33	5.4912	5.4912	3.37807	66.766	0.876378	43.906
101	121.0829	OK	Task[1].DOE[1]/Subflow[101]	504489.157	504439.349	39.384	11.4036	13.557	24.993	8.71641	0.33	5.44032	5.44032	3.2519	49.808	0.870818	43.725
102	149.7864	OK	Task[1].DOE[1]/Subflow[102]	504500.874	504445.003	37.71	13.2336	13.1595	23.733	7.50789	0.33	5.24496	5.24496	3.38272	55.871	0.860771	51
103	123.1818	OK	Task[1].DOE[1]/Subflow[103]	504504.08	504449.36	39.3048	13.26	12.5625	32.157	8.37459	0.33	5.14368	5.14368	3.50424	54.72	0.897264	45.403
104	131.1465	OK	Task[1].DOE[1]/Subflow[104]	504509.495	504450.23	38.3472	12.5172	11.766	28.905	6.9093	0.33	4.79616	4.79616	3.20044	59.265	0.875903	44.493
105	152.9417	OK	Task[1].DOE[1]/Subflow[105]	504541.546	504450.991	40.4964	10.5276	17.802	34.344	8.15508	0.33	5.38272	5.38272	3.36412	90.555	0.929351	59.645
106	130.0901	OK	Task[1].DOE[1]/Subflow[106]	504524.38	504458.046	35.7228	9.7044	14.817	28.44	7.6788	0.33	4.116	4.116	3.49029	66.334	0.87157	42.063
