Config	A	B	C	D	MeanLoad	MeanMass	ReliableLoad	SDLoad
1	28.8	12.14852527	12	24	38.67372338	0.817500355	32.5809171	1.745394837
1	30.13294917	14.41996559	12	24	41.54842153	0.827499961	34.84592898	1.830640946
1	28.8	14.41996559	15.72898025	24	44.71577013	0.837499999	37.31007975	1.924277837
1	28.86181384	14.41996559	18	24	48.22305355	0.847500002	39.95456112	2.033284588
1	31.23516318	14.41996559	18	24	51.19746802	0.857500006	42.00643014	2.143716152
1	33.61095765	14.41996559	18	24	54.41838334	0.867500008	44.43425632	2.234292619
1	35.95841913	14.41996559	18	24	57.37419248	0.877500225	46.46588702	2.335412754
1	38.28862232	14.41996559	18	24	60.06210444	0.8875	48.07727139	2.447941283
1	40.65250711	14.41996559	18	24	62.95310707	0.897499999	49.99964749	2.544942002
1	43.2	14.41996559	17.96668389	24	67.16995733	0.9075	54.12239056	2.554169803
1	43.2	14.41996559	18	26.60133918	67.73544367	0.917500113	54.31665072	2.590250272
1	43.2	14.41996559	18	29.19384127	68.14268279	0.927500005	54.35771053	2.625354477
1	43.2	14.41996559	18	31.77759127	68.55122678	0.9375	54.43796103	2.656432359
1	43.2	14.41996559	18	34.3550349	68.99915311	0.947499997	54.6076859	2.68248646
2	28.8	12.14842223	12	24	38.67364721	0.81750016	32.58086076	1.745391997
2	28.8	14.41996559	13.36699345	24	41.71721186	0.827500015	35.12551448	1.815447242
2	28.8	14.41996559	15.72898063	24	44.71577065	0.837500001	37.31008023	1.924277842
2	28.8618133	14.41996559	18	24	48.22305296	0.8475	39.95456079	2.033284556
2	31.23516319	14.41996559	18	24	51.19746802	0.857500006	42.00643015	2.143716152
2	33.61095862	14.41996559	18	24	54.41838462	0.867500012	44.43425726	2.234292657
2	35.95836659	14.41996559	18	24	57.37412983	0.8775	46.4658473	2.3354103
2	38.2886205	14.41996559	18	24	60.06210236	0.887499992	48.07727016	2.447941196
2	40.65250729	14.41996559	18	24	62.95310732	0.8975	49.99964768	2.544942008
2	43.2	14.41996559	17.96668387	24	67.16995729	0.9075	54.12239055	2.5541698
2	43.2	14.41996559	18	26.60132753	67.73544174	0.917500068	54.31665042	2.590250116
2	43.2	14.41996559	18	29.19383987	68.14268258	0.9275	54.35771051	2.625354459
2	43.2	14.41996559	18	31.7775916	68.55122683	0.937500001	54.43796104	2.656432362
2	43.2	14.41996559	18	34.35503505	68.99915314	0.947499998	54.60768591	2.682486461
3	28.8	12.14852753	12	24	38.67372504	0.81750036	32.58091833	1.745394899
3	28.8	14.41996559	13.36699053	24	41.71720856	0.827500003	35.12551257	1.815447051
3	31.87682956	14.41996559	12.67591162	24	44.03813952	0.837500815	36.91397981	1.887347306
3	28.8618133	14.41996559	18	24	48.22305296	0.8475	39.95456079	2.033284556
3	31.55235304	14.41996559	17.70808251	24	51.09214855	0.857500069	42.13775318	2.115938961
3	33.67909804	14.41996559	17.93778463	24	54.38539977	0.86750074	44.46616875	2.227019423
3	35.95836656	14.41996559	18	24	57.37412979	0.8775	46.46584727	2.335410298
3	38.2886222	14.41996559	18	24	60.0621043	0.887499999	48.07727131	2.447941277
3	40.65250678	14.41996559	18	24	62.95310663	0.897499998	49.99964714	2.544941992
3	43.2	14.41996559	17.96668397	24	67.16995753	0.9075	54.12239062	2.554169817
3	43.2	14.41996559	18	26.6013264	67.73544156	0.917500064	54.31665039	2.590250101
3	43.2	14.41996559	18	29.193841	68.14268275	0.927500004	54.35771053	2.625354473
3	43.2	14.41996559	18	31.77759133	68.55122679	0.9375	54.43796103	2.656432359
3	43.2	14.41996559	18	34.35503526	68.99915318	0.947499998	54.60768593	2.682486463
4	28.8	11.75285671	12.18866087	24	38.48175665	0.817500861	32.5156219	1.727155862
4	28.8	14.41996559	13.36699025	24	41.71720825	0.827500002	35.12551239	1.815447033
4	31.99497551	14.41996559	12.55573753	24	44.03013695	0.837500064	36.91412223	1.886268104
4	34.1118415	14.41996559	12.82258118	24	46.60500497	0.847500002	38.92612959	1.959448313
4	31.96379675	14.41996559	17.31699028	24	50.95213171	0.857499991	42.16270598	2.096357046
4	34.15595455	14.41996559	17.48907078	24	54.13768783	0.867500848	44.5267486	2.192138138
4	36.30237736	14.41996559	17.6772062	24	57.1091056	0.87750037	46.47929412	2.305407933
4	38.58363724	14.41996559	17.72481704	24	59.79287663	0.8875	48.07660921	2.420358178
4	43.2	14.41996559	15.65634948	24	61.94006807	0.897500001	50.48653302	2.393066552
4	43.2	14.41996559	17.96672229	24	67.1700525	0.907500178	54.1224163	2.554176599
4	43.2	14.41996559	18	26.60133244	67.73544256	0.917500087	54.31665055	2.590250182
4	43.2	14.41996559	18	28.9622201	68.10704546	0.926603954	54.35412016	2.622301022
4	43.2	14.41996559	18	31.77759129	68.55122678	0.9375	54.43796103	2.656432359
4	43.2	14.41996559	18	34.3550357	68.99915326	0.9475	54.60768596	2.682486468
5	28.8	10.21245954	12.5361575	24.33161067	37.73013122	0.817499983	32.05398481	1.684658187
5	31.69220918	9.788984543	12.4988893	24	39.70251053	0.827499939	33.53169316	1.756533144
5	33.92511825	9.937247088	12.57796826	24	41.81026828	0.837500173	35.29972161	1.804237606
5	34.87840779	10.44700904	12.64656019	25.22813047	43.30624653	0.847499983	36.51477098	1.842752772
5	33.93812727	11.2446185	12.97008033	28.10057682	43.93777189	0.857494909	36.98268193	1.86481768
5	34.67944538	10.57265383	12.57111421	30.47525893	44.04398887	0.867500048	37.19294467	1.850816603
5	35.51032718	11.82125543	14.52419558	29.5495264	48.03363876	0.877494762	39.64383416	2.048146063
5	38.96447673	14.41996559	17.35965796	24	59.44333901	0.887499987	47.93101796	2.399199976
5	35.91153992	14.41996559	17.3166782	29.88203758	56.75263176	0.896654146	46.22785314	2.293989823
5	35.15288111	14.41996559	17.22355871	33.64187467	56.15497872	0.907499998	45.86532601	2.268220967
5	38.57611699	12.95864315	17.55472031	32.37497809	58.14924138	0.916559173	46.62371214	2.400575893
5	43.2	14.41996559	17.42006483	29.61762228	66.80249851	0.926500102	53.82680235	2.547125455
5	43.2	14.41996559	17.34655177	32.2863606	67.0547355	0.936500035	53.86141945	2.568396002
5	43.2	14.41996559	17.29402037	34.92031355	67.3962464	0.946500182	54.01135925	2.586975758
6	28.8	9.6	12.50166355	24.64394327	37.45155837	0.817499999	31.8448086	1.674328188
6	28.8	9.6	12.51148055	27.14146725	37.86822202	0.827500021	32.29438044	1.669407317
6	28.8	9.6	12.46788502	29.6598358	38.21816459	0.837500074	32.66304373	1.666601462
6	28.8	9.6	12.40347848	32.19411604	38.57551837	0.847500185	33.07000619	1.65914318
6	28.8	9.6	12.36600551	34.69317003	38.97787624	0.857500326	33.54922483	1.647521077
6	28.8	10.87679829	12.87475273	36	40.01423283	0.866500007	34.42239998	1.672099405
6	31.90705403	9.625975734	12.47692998	36	41.85803514	0.876500097	35.75657075	1.746634535
6	29.52027391	9.6	17.23016198	36	43.37205294	0.886499981	36.70740723	1.825465106
6	32.1260317	9.6	16.98668107	36	46.03486119	0.896500005	38.69242454	1.91604236
6	34.40448695	9.6	17.05386096	36	48.701592	0.906499997	40.70389848	1.999711669
6	38.57396905	12.92626091	17.55129295	32.38872001	58.08551785	0.916537285	46.58366613	2.398108808
6	43.2	9.6	13.05887707	36	52.73675036	0.926499998	44.40678077	2.040829438
6	43.2	13.40176555	14.28548343	36	59.61462598	0.9365	48.53841008	2.353318497
6	43.2	14.41996559	16.31096023	36	65.37088795	0.946499576	52.57627864	2.529289358
7	28.8	9.6	12.47948034	24.66679806	37.44797152	0.817500003	31.84150985	1.674285171
7	28.8	9.6	12.48051226	27.17270266	37.86176609	0.827499997	32.28842743	1.669332001
7	28.8	9.6	12.43694557	29.6908193	38.21176887	0.837500066	32.657173	1.666522708
7	28.8	9.6	12.38635645	32.21116597	38.57240099	0.847500051	33.0671542	1.65910319
7	28.8	9.6	12.34018837	34.71862364	38.97379721	0.857500159	33.54546014	1.647473379
7	28.95109775	10.27453089	12.88843139	36	39.82513286	0.866500116	34.25283277	1.669176458
7	31.86213442	9.6	12.53147212	36	41.83283993	0.876499997	35.73436729	1.746206265
7	29.51972871	9.6	17.23069954	36	43.37205541	0.886499987	36.70741293	1.825464664
7	32.11670845	9.6	16.99592543	36	46.03442394	0.896500085	38.6920627	1.91603252
7	34.43583397	9.6	17.02260701	36	48.69623736	0.906499997	40.69905015	1.99964837
7	43.2	9.6	12.25378471	34.39040263	51.415102	0.91650003	43.47201383	1.992873324
7	43.2	9.6	13.05887754	36	52.73675096	0.9265	44.40678108	2.040829474
7	43.2	9.6	15.38044524	36	56.05431261	0.936500002	46.32111847	2.206036508
7	43.2	9.6	17.70386414	36	59.92084881	0.946499984	49.14288612	2.32141796
8	28.8	9.6	12.47106403	24.67545589	37.44664119	0.817500002	31.84020743	1.674281003
8	28.8	9.6	12.472381	27.18089158	37.86011237	0.827499995	32.28680881	1.669326745
8	28.8	9.6	12.42692329	29.7008257	38.20975204	0.837500012	32.65519583	1.666516757
8	28.8	9.6	12.37223942	32.22521783	38.56989643	0.847499998	33.06471994	1.659092597
8	28.8	9.6	12.33569991	34.72300971	38.97310211	0.857499997	33.54477044	1.647472559
8	28.98010698	10.14621504	12.89513859	36	39.78950528	0.866499989	34.21866471	1.668957843
8	31.83947507	9.6	12.55476602	36	41.82446937	0.87650013	35.72642429	1.746145051
8	34.20266352	9.6	12.54873549	36	43.96765952	0.88650003	37.41359399	1.810257652
